职业名称,职业大类,典型技能
销售总监,销售,谈判:8|团队管理:7|市场分析:8|客户关系:7
销售经理,销售,谈判:6|团队管理:5|市场分析:5|客户关系:6
销售专员,销售,谈判:4|客户沟通:4|产品知识:3|跟单:3
客户经理,销售,客户关系:5|谈判:5|行业知识:4|方案策划:4
客服专员,客户服务,沟通协调:4|情绪管理:3|问题解决:4|系统操作:3
客服主管,客户服务,团队管理:5|投诉处理:6|流程优化:4|数据分析:4
售后专员,客户服务,客户沟通:4|问题排查:4|耐心:5|协调能力:3
程序员,计算机/互联网,编程:7|算法:6|调试:6|系统设计:5
系统架构师,计算机/互联网,系统设计:9|技术选型:8|性能优化:8|团队指导:7
网络安全工程师,计算机/互联网,网络安全:7|渗透测试:6|系统加固:6|安全审计:5
IT运维工程师,计算机/互联网,系统管理:5|网络配置:5|故障排除:6|自动化脚本:4
数据分析师,计算机/互联网,数据分析:7|统计:6|可视化:5|业务理解:6
通信工程师,通信/电子,通信原理:5|设备调试:5|网络规划:4|项目管理:4
电子工程师,通信/电子,电路设计:6|嵌入式开发:5|硬件调试:5|PCB设计:4
嵌入式工程师,通信/电子,嵌入式系统:6|C语言:6|硬件接口:5|RTOS:4
生产工程师,生产/制造,工艺设计:5|质量控制:5|设备维护:4|生产管理:4
安全专员,生产/制造,安全检查:4|风险评估:4|应急处理:5|安全培训:3
操作工,生产/制造,设备操作:3|质量检查:2|安全规范:3|基本维护:2
质量检验员,生产/制造,质量检测:4|标准执行:4|测量工具:3|报告撰写:2
物流专员,物流/仓储,仓储管理:4|运输调度:4|库存分析:3|系统操作:3
仓管员,物流/仓储,库存管理:4|出入库操作:3|盘点:3|仓库安全:2
快递员,物流/仓储,路线规划:3|客户沟通:3|包裹处理:3|时间管理:4
供应链经理,物流/仓储,供应链管理:7|物流规划:6|成本控制:6|团队管理:6
采购专员,商贸/采购,供应商评估:4|谈判:5|成本分析:4|合同管理:3
采购经理,商贸/采购,供应链管理:7|谈判:7|成本控制:6|战略规划:6
外贸专员,商贸/采购,外语:5|外贸流程:5|跨文化沟通:4|单证处理:4
商务经理,商贸/采购,商务谈判:7|客户关系:6|合同管理:6|项目管理:5
人事经理,人事/行政,招聘面试:6|绩效管理:6|员工关系:5|组织发展:6
人事专员,人事/行政,招聘:4|员工关系:3|薪酬计算:3|劳动法规:4
秘书/助理,人事/行政,行政协调:4|文档管理:4|时间管理:5|沟通协调:4
后勤专员,人事/行政,后勤保障:4|物资管理:3|设施维护:3|调度安排:3
总经理,高级管理,战略规划:9|决策分析:8|团队领导:9|危机管理:8
部门总监,高级管理,团队管理:8|业务规划:7|资源调配:7|跨部门协调:7
项目经理,高级管理,项目管理:6|团队协调:6|进度控制:5|风险管理:5
CEO,高级管理,战略决策:10|领导力:10|商业洞察:9|危机管理:9
运营总监,高级管理,运营管理:8|流程优化:7|团队建设:7|数据分析:7
市场经理,广告/市场,市场策划:6|品牌管理:6|数据分析:5|活动执行:5
品牌专员,广告/市场,品牌策划:4|文案撰写:4|活动执行:3|市场调研:3
广告投放专员,广告/市场,广告投放:5|数据分析:5|用户画像:4|竞价优化:4
市场策划,广告/市场,营销策划:5|创意构思:5|市场调研:4|方案撰写:4
编辑,传媒/艺术,文字功底:6|内容策划:5|编辑校对:6|选题策划:5
记者,传媒/艺术,新闻采写:6|采访技巧:6|信息核实:5|快速成文:5
摄影师,传媒/艺术,摄影技术:6|后期处理:5|构图审美:6|灯光运用:5
平面设计师,传媒/艺术,设计软件:6|视觉设计:5|创意构思:5|色彩搭配:5
作家/作者,传媒/艺术,写作:8|叙事结构:7|人物塑造:7|创意构思:8
视频剪辑师,传媒/艺术,视频剪辑:6|后期特效:5|叙事节奏:5|音频处理:4
生物工程师,生物/制药,生物技术:7|实验设计:6|数据分析:6|GMP规范:5
药物研发员,生物/制药,药物化学:7|药理学:6|临床试验:5|文献检索:5
实验室技术员,生物/制药,实验操作:5|仪器使用:5|样品管理:4|记录规范:4
医生,医疗/护理,诊断:8|治疗:7|急救:7|医患沟通:6
护士,医疗/护理,护理:6|急救:5|医患沟通:5|药物管理:5
药剂师,医疗/护理,药品知识:7|处方审核:6|药物调配:6|用药咨询:5
康复治疗师,医疗/护理,康复技术:6|评估诊断:5|治疗计划:5|患者沟通:5
投资顾问,金融/银行/保险,投资分析:7|风险评估:6|理财规划:6|市场研究:5
保险经纪人,金融/银行/保险,保险知识:6|客户关系:5|风险管理:5|理赔处理:4
银行柜员,金融/银行/保险,柜面业务:4|客户服务:4|风险意识:3|点钞:3
风险分析师,金融/银行/保险,风险建模:7|统计分析:7|金融工程:6|合规审查:5
证券分析师,金融/银行/保险,证券分析:7|财务建模:7|行业研究:6|投资策略:6
建筑师,建筑/房地产,建筑设计:7|工程制图:6|材料知识:5|项目管理:5
结构工程师,建筑/房地产,结构设计:7|力学分析:6|工程计算:6|施工配合:5
工程造价师,建筑/房地产,工程造价:6|预算编制:6|成本分析:5|合同管理:4
房地产经纪人,建筑/房地产,房产销售:5|客户沟通:5|市场分析:4|谈判:4
咨询顾问,咨询/顾问,行业分析:7|方案策划:7|沟通表达:6|数据分析:6
战略咨询师,咨询/顾问,战略分析:8|商业分析:8|逻辑推理:8|报告撰写:7
心理咨询师,咨询/顾问,心理咨询:7|情绪管理:6|倾听:7|诊断:6
管理咨询师,咨询/顾问,管理诊断:7|流程优化:6|组织变革:6|培训辅导:5
律师,法律,法律知识:8|诉讼:7|合同审查:7|辩论:7
法务专员,法律,合同审查:5|法规研究:5|风险防控:4|文书撰写:5
专利代理人,法律,专利法:6|技术理解:6|文书撰写:6|知识产权:5
会计,财会/审计,账务处理:6|财务报表:5|税务申报:5|审计:4
审计师,财会/审计,审计:7|财务分析:7|风险识别:6|合规审查:6
税务专员,财会/审计,税务法规:6|税务筹划:5|申报流程:5|政策解读:4
财务主管,财会/审计,财务管理:7|团队管理:6|预算控制:7|财务分析:7
教师,教育/科研,教学:6|课程设计:5|学生管理:5|沟通引导:5
大学教授,教育/科研,学术研究:8|教学:7|论文写作:8|科研管理:7
科研人员,教育/科研,实验设计:7|数据分析:7|论文写作:7|技术创新:6
培训讲师,教育/科研,培训授课:6|课程开发:5|演讲表达:6|互动引导:5
幼儿园老师,教育/科研,幼儿教育:5|游戏教学:4|沟通能力:5|耐心:6
保安,服务业,安保:4|巡逻:3|应急处理:3|观察力:4
厨师,服务业,烹饪:7|菜单设计:5|食材管理:5|食品安全:5
餐厅服务员,服务业,服务:3|沟通:3|多任务处理:4|礼仪:2
酒店前台,服务业,客户服务:4|系统操作:3|沟通:4|多语言:3
导游,服务业,导游讲解:5|沟通:5|应急处理:4|历史文化:5
健身教练,服务业,健身指导:6|运动科学:5|营养知识:4|激励沟通:5
美容师,服务业,美容技术:6|皮肤护理:5|客户沟通:4|产品知识:4
保洁员,服务业,清洁:2|卫生规范:3|设备使用:2|细心:3
出租车司机,交通运输,驾驶:5|路线规划:5|车辆维护:4|客户服务:3
飞行员,交通运输,飞行技术:8|应急处置:8|导航:7|气象知识:6
货运司机,交通运输,驾驶:6|车辆维护:5|路线规划:5|货物安全:4
列车员,交通运输,客户服务:4|安全规范:4|应急处理:3|沟通:3
地铁司机,交通运输,驾驶:5|应急处置:5|信号系统:4|安全规范:5
公务员,政府机构,政策理解:4|公文写作:4|行政执行:4|沟通协调:3
政策研究员,政府机构,政策分析:6|研究报告:6|数据分析:5|行业洞察:5
政务专员,政府机构,政务服务:4|窗口业务:4|法规知识:3|沟通协调:3
军人,军人/警察,战术:6|格斗:6|枪械:6|纪律:7
警察,军人/警察,侦查:6|格斗:5|法律知识:5|危机处理:6
军事教官,军人/警察,战术教学:7|格斗:7|枪械:7|领导力:7
消防员,军人/警察,消防救援:6|应急处理:6|体能与耐力:7|急救:5
农民,农林牧渔,种植:4|农业机械:3|农时管理:4|作物知识:4
园艺师,农林牧渔,园艺设计:5|植物养护:5|景观规划:4|季节管理:4
畜牧师,农林牧渔,畜牧养殖:5|疫病防控:5|饲料配比:4|繁殖管理:4
农业技术员,农林牧渔,农业技术:5|病虫害防治:4|土壤管理:4|推广培训:3
渔业技术员,农林牧渔,水产养殖:5|水质管理:4|渔业资源:4|捕捞技术:3
自由职业者,自由职业,自我管理:5|多技能:4|客户拓展:4|时间管理:5
个体户,自由职业,经营管理:5|客户关系:5|成本控制:4|市场营销:4
自媒体创作者,自由职业,内容创作:6|社交媒体:5|粉丝运营:4|视频制作:5
网约车司机,自由职业,驾驶:4|客户服务:4|路线规划:4|时间管理:5
大学生,在校学生,学习:4|研究:3|时间管理:3|沟通:3
研究生,在校学生,学术研究:5|论文写作:5|实验:4|数据分析:4
中学生,在校学生,学习:3|时间管理:2|沟通:2|自律:2
待业人员,待业,求职技能:2|学习能力:3|时间管理:3|自我管理:2
家庭主妇/主夫,待业,家务管理:4|时间管理:4|理财:3|烹饪:4
退休人员,待业,生活经验:6|耐心:5|观察力:5|手工:3
