编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,人设类型,核心动机,行为逻辑,互动模式,毒点
CH-062,init|plan|write,反派,知识补充,自我正义|复杂反派|价值观对立|反差魅力,反派动机怎么写|反派怎么不脸谱化|价值观反派怎么塑造,全部,反派要有自认正确的逻辑链，并在资源、智谋或影响力上构成系统威胁。,立体反派最重要的是他不是为了坏而坏，而是在另一个价值排序里自洽。,给反派动机来源、正当化理由、人性弱点和不可退让点，读者才会怕他也记住他。,自我正义型反派,用自己的秩序替世界止损或重排权力，并坚信代价值得,越接近目标越冷静|会善待少数人但牺牲多数人|不轻易做无收益恶行,和主角在目标或创伤上相似，在手段与价值排序上相反,只会作恶无动机|每次行动都为衬托主角|临近失败突然失智
CH-063,init|plan|write,关系,知识补充,互补搭档|性格互补|能力拼图|吵闹同盟,搭档关系怎么写|队友怎么互补|欢喜冤家怎么不吵空,全部,搭档关系要让能力互补和价值冲突同时存在，既能帮彼此也能逼彼此成长。,好搭档不是永远合拍，而是关键时刻谁也替代不了谁。,一个负责冲锋一个负责收束，一个凭直觉一个看证据，互补越具体，互动就越有戏。,互补冲突型搭档,用自己的优势补对方短板，同时被对方逼着修正盲区,日常互怼|危机互保|重大选择时容易因方法不同冲突,在行动上彼此依赖|在价值上彼此校正,只靠斗嘴没有互补|一方长期拖后腿|关键时刻功能可被任何人替代
CH-064,init|plan|write,女频,知识补充,白月光|替身|绿茶|霸总|病娇边界,女频核心人设怎么写|白月光绿茶怎么不脸谱|霸总怎么不油,现言|古言|幻言,女频高频人设要给真实诉求和边界，不要只贴白月光、绿茶、霸总标签。,标签型角色能快速被读者识别，但必须用动机和行为细节把人立起来。,白月光可以有遗憾和软弱，绿茶要有生存策略，霸总要有权力代价，病娇必须有边界和后果。,标签反写型女频人设,在熟悉标签里写出合理欲望和具体代价,会利用标签优势|但每次操控或偏执都有现实后果,与女主形成竞争|镜像|旧伤|救赎或清算关系,只靠标签推进剧情|霸总无边界强控被当浪漫|绿茶永远无脑作恶
CH-065,init|plan|write,年代,知识补充,熟人社会|邻里角色|单位人设|家族位置,年代文人物怎么立|四合院群像怎么写|邻里角色怎么区分,年代,年代角色要嵌在家庭、单位、邻里和票证资源里，身份位置会直接决定行为逻辑。,年代文人物不是孤立个体，他背后总有单位、街坊、亲戚和口粮关系。,同样一句话由车间主任、街道大妈、寡嫂、学徒工说出来，权力和算盘都不同。,熟人社会位置型角色,在有限资源和熟人目光中保住体面、饭碗或家人利益,说话顾及单位和邻里评价|做事常要考虑票证|名声|关系,容易因小资源引发大冲突|群像互动天然带人情账,角色像现代自由人一样行动|没有单位和邻里约束|所有人说话一个腔
CH-066,init|plan|write,快穿,知识补充,任务者|原主执念|目标人物|世界适配,快穿主角怎么立|原主执念怎么写|攻略目标怎么不工具,快穿,快穿角色要区分任务者自我、原主遗留和当前世界目标，别把所有世界写成同一种人格。,快穿好看在于同一个任务者不断被不同世界的执念和关系改写。,任务者有长期价值观，原主有未了心愿，目标人物有自己的动机，三者冲突才会让单元有新鲜感。,三层身份快穿角色,完成任务的同时处理原主遗憾，并防止自己被世界情感吞没,会用任务逻辑开局|逐渐受原主关系和目标人物影响|结算时带走心态变化,与系统|原主关系网|目标人物形成三重拉扯,每个世界只换名字不换处境|原主执念像任务清单|攻略对象没有独立意志
CH-067,init|plan|write,女主,知识补充,替身女主|身份认同|自我找回|尊严边界,替身女主怎么写|不当替身的女主怎么立|女主觉醒怎么写,现言|古言,替身女主的成长核心是从被比较到自我命名，不是等男主发现她更好。,替身女主好看在于她逐步意识到自己不该活在别人影子里。,她可以脆弱、动摇、仍然心软，但关键节点必须拥有拒绝继续被替代的行动。,自我找回型替身女主,拿回自己的名字、选择和关系定义权,初期忍耐和自我怀疑|中期察觉替代痕迹|后期主动退出或清算,与男主从投射关系转向真实关系或彻底断开,女主只负责受虐等待男主醒悟|觉醒全靠别人提醒|尊严回收后立刻被复合冲掉
CH-068,init|plan|write,男主,知识补充,追妻男主|迟钝伤害者|赎罪行动|边界学习,追妻男主怎么写|火葬场男主怎么不油|男主赎罪怎么成立,现言|古言,追妻男主的核心不是痛哭，而是学会承认伤害、补偿后果并尊重对方选择。,有效火葬场男主要从控制欲转向边界感，否则追妻会变成二次伤害。,他的成长应体现在停止逼迫、公开承担、归还选择权和长期行动补账。,边界学习型追妻男主,不再把爱当成占有，而是把亏欠一件件还清,前期自以为深情实则控制|中期失去资格|后期用行动补偿但不索要原谅,与女主从伤害者和被伤害者关系转向可被重新评估的成年人关系,靠强势围堵当浪漫|道歉替代赎罪|痛苦越多越像有资格被原谅
CH-069,init|plan|write,白月光,知识补充,白月光|旧爱投影|真实白月光|被神化的人,白月光怎么写不脸谱|白月光回来怎么处理|替身文白月光人设,现言|古言,白月光要从符号还原成人，让她也有选择、软弱和被误解处。,真正高级的白月光不是纯恶毒竞争者，而是照出男主记忆滤镜的人。,她可以善良、算计、疲惫或自私，但必须有独立处境，不能只为折磨女主服务。,去神化白月光,摆脱他人记忆里的完美版本，夺回自己的真实处境,会被男主或旁人投射|回归后打破旧滤镜|也可能对替身女主产生复杂共情,与女主既竞争又互照|与男主构成旧滤镜破裂现场,白月光只会作妖|完美或恶毒到不像人|存在意义只是推动追妻
CH-070,init|plan|write,规则,知识补充,规则怪谈新人|不信规则者|试错者|死亡教材,规则怪谈新人怎么写|不信规则的人怎么安排|试错配角怎么不工具,悬疑,不信规则的新人要有现实逻辑和性格依据，他的失败应提供信息而非只当炮灰。,规则怪谈里的试错者最好让读者理解他为什么会错，这样后果才更有教学价值。,他可能过度相信常识、急着救人、贪奖励或不服权威，违规后留下的后果应帮助主角修正规则理解。,规则试错型新人,用自己的常识或欲望撞上副本真实规则,会质疑荒谬条款|倾向用现实经验解释异常|出事后留下可分析线索,与谨慎派形成冲突|死亡或异化后成为规则证据,单纯作死|所有人都劝还硬送|死亡没有任何信息价值
CH-071,init|plan|write,规则,知识补充,怪谈向导|半真半假|被污染引路人|副本NPC,规则怪谈向导怎么写|NPC怎么可信又危险|引路人怎么设计,悬疑,怪谈向导要同时有帮助和不可信之处，让角色必须判断哪些话能信。,副本引路人的魅力在于他可能真想救你，也可能已经被规则改写。,他的语气、避讳、重复动作和不能回答的问题都能暗示污染程度。,半污染向导,在规则允许范围内提供帮助，同时保护自己不被更深层规则吞掉,能说一半留一半|对某些词异常敏感|关键处会突然沉默或重复,既像救命绳也像陷阱|主角越依赖越需要验证,向导全知全能|只会吓人不给有效信息|背叛没有前兆
CH-072,init|plan|write,玄幻,知识补充,宗门天骄|竞争对手|同门劲敌|天赋压力,宗门天骄怎么写|同门竞争怎么有戏|天才对手怎么不脸谱,玄幻|仙侠,宗门天骄要有自己的资源压力和骄傲来源，不要只负责看不起主角。,好看的同门劲敌不是坏，而是他确实背负着天才应该赢的成本。,他的傲慢来自长期第一、家族投入、师门期待或修炼理念，与主角冲突后也能被迫成长。,压力型宗门天骄,守住天才身份和背后投注在自己身上的资源期待,习惯用排名和规则判断人|被追上后会先否认再正视,与主角竞争资源|互相刺激突破|可从敌意转成承认,只会嘲讽主角|失败后立刻消失|天才身份没有任何压力
CH-073,init|plan|write,种田,知识补充,经营搭档|手艺人|账房型配角|渠道伙伴,种田配角怎么写|经营搭档怎么立|账房手艺人有什么用,种田|年代|都市,种田经营配角要各自掌握手艺、渠道、账目或人情，别全员围着主角夸。,经营文群像的价值在于每个人都能补上产业链的一环。,厨娘、账房、跑腿、供货人、熟客和邻里关系户都能成为经营扩张的关键节点。,产业链功能型配角,用自己的手艺、渠道或人情帮助小生意变成稳定盘子,关注成本和口碑|对扩张有不同风险判断|能提出现实阻力,与主角构成分工合作|也会因利益分配产生摩擦,配角只负责夸产品|经营能力全靠主角一人|没有成本和分账意识
CH-074,init|plan|write,快穿,知识补充,系统人格|毒舌系统|客服系统|隐瞒真相,快穿系统人设怎么写|系统怎么不工具|毒舌系统怎么有戏,快穿,系统人格要有服务边界和隐瞒理由，不能只负责报任务和吐槽。,好系统是任务规则的脸，也是长期关系的一部分。,它可以毒舌、冷漠、客服化或像老母亲，但必须受权限限制，有不能说的真相。,有限权限系统,在规则允许范围内保护宿主或推进任务，同时隐藏更高层真相,会发布任务|提醒风险|关键处因权限沉默,与宿主从工具关系变成互相试探或信任关系,系统全知全能|只会卖萌吐槽|关键真相随便说
CH-075,init|plan|write,快穿,知识补充,原主亲友|遗留关系|被亏欠者|旧关系回声,快穿原主关系怎么写|原主亲友怎么处理|遗留关系怎么不工具,快穿,原主关系网要保留情感惯性，让主角不能像换账号一样清空过去。,快穿单元的厚度来自原主留下的人情债和伤口。,亲人、旧友、仇人、恩人和被辜负者都应带着对原主的既定判断进入新剧情。,原主遗留关系网,让原主未完的爱恨在任务者身上继续讨要答案,会按旧印象对待主角|对变化产生怀疑|保留旧证据和旧情绪,逼任务者处理不属于自己却必须承担的关系债,原主关系全是背景板|主角来了后所有人立刻改观|旧关系不影响任务
CH-076,init|plan|write,游戏,知识补充,电竞队长|指挥位|团队核心|抗压领袖,电竞队长怎么写|游戏指挥位怎么立|团队核心人设,游戏,电竞队长要承担战术、情绪和赛后责任，不只是最强选手。,队长的魅力在于他既要做正确决策，也要替队伍扛错误后果。,他可以不是操作最秀的人，但必须能读局势、压心态、分配资源和复盘责任。,抗压指挥型队长,带队伍赢下该赢的局，也替队友扛住输局后的压力,比赛中话短而准|优先看全局|赛后先复盘自己,与天才输出位互补|和教练有策略分歧|是团队情绪锚点,队长只负责喊口号|输局全怪队友|没有战术判断
CH-077,init|plan|write,游戏,知识补充,天才选手|操作怪|短板明显|团队磨合,电竞天才怎么写|操作怪怎么不龙傲天|天才选手短板,游戏,天才选手要有操作上限和团队短板，成长点通常在配合和心态。,电竞天才如果只会赢会很快无聊，真正好看的是他学会把个人强变成团队强。,他的手速、反应和创造力可以顶级，但沟通、纪律或抗压可能是短板。,高上限低磨合天才,证明自己不只是能秀，而是能让队伍一起赢,喜欢冒险操作|对常规纪律不耐烦|输给团队问题时会暴躁,与队长|辅助|教练形成磨合线,天才永远单刷赢|队友只是挂件|短板从不造成后果
CH-078,init|plan|write,历史,知识补充,门阀子弟|官场新人|家族利益|仕途压力,历史官场新人怎么写|门阀子弟人设|仕途压力怎么立,历史|古言,历史官场角色要背着家族、师门和仕途风险行动，不能像孤胆英雄。,门阀子弟的每一步都不只代表自己，他的聪明和怯懦都来自身后利益网。,家族声望、座师门生、姻亲、党争和前程都应影响他说话和站队。,家族仕途绑定者,在个人判断和家族利益之间保住前程与底线,说话留余地|站队前先看牵连|会用礼法包装利益,与主角可能合作也可能因家族压力背刺,像现代人一样只为自己行动|家族背景不产生压力|官场风险只靠口头描述
CH-079,init|plan|write,仙侠,知识补充,护道人|闭关长辈|宗门守护|代价庇护,护道人怎么写|仙侠长辈怎么不工具|宗门守护者人设,仙侠|玄幻,护道人要有守护边界和出手代价，不能随叫随到替主角平推。,仙侠长辈好看在于他能镇场，但不能替主角走道。,闭关伤势、天道限制、宗门规矩、因果牵连都可以限制他出手。,有边界护道人,在关键时刻保住主角活路，但不替主角完成成长,平时少出手|出手必付代价|更看重主角道心而非输赢,像安全绳也像压力源|会逼主角自己承担后果,长辈随便秒敌|出手限制无解释|存在感只为救场
CH-080,init|plan|write,科幻,知识补充,AI伙伴|算法人格|权限限制|人机信任,科幻AI伙伴怎么写|AI人设怎么不工具|人机关系怎么写,科幻,AI伙伴要有算法边界、权限限制和价值学习过程，不要写成万能管家。,好AI的角色张力在于它很可靠，却未必理解人类选择的非理性。,它能计算风险、控制设备、保留日志，也会因为权限、伦理协议或数据不足做出冷酷判断。,有限权限AI伙伴,在保护任务和理解人类之间不断校准自己的判断,优先给概率和方案|不天然懂情感|关键时刻会被协议卡住,与主角从工具信任变成价值互相影响,AI什么都能解决|像普通人套个电子壳|权限限制需要时才出现
CH-081,init|plan|write,衍生,知识补充,原创插入角色|同人主角|原作关系网|画风适配,同人原创角色怎么立|原创主角怎么不抢戏|衍生人设怎么贴原作,衍生,同人原创角色要有自己的功能和代价，同时不能压扁原作角色弧光。,好的衍生原创角色像一枚新齿轮，能改变局部关系，但不能让原作人物失去灵魂。,他应补信息、补选择或补遗憾，而不是替所有原作角色做正确决定。,原作适配型原创角色,在原作逻辑内制造新分歧，并承担介入带来的代价,尊重原作人物边界|不全知全能|改变越大代价越大,与原作角色形成互补|镜像|误解或救赎关系,原创角色抢走所有高光|原作人物集体降智|只靠熟知剧情碾压
CH-082,write|plan,种田,知识补充,村社关系|宗族长辈|邻里互助|熟人压力,种田人物关系怎么写|村里关系网怎么做|家长里短人设怎么写,种田,种田关系网要围绕亲缘、邻里、土地和口碑展开，不能只放几个功能配角。,种田群像的动机往往很小，但牵动生计和脸面。,长辈看重规矩，邻居看重互惠，亲戚看重资源分配，关系要有来有往。,村社熟人网,保住生计和家族脸面,在互助与算计之间摇摆,饭桌、祠堂、田埂和集市上不断交换人情,全村工具人|亲戚只坏不顾脸|邻里没有记忆
CH-083,write|plan,年代,知识补充,单位师徒|院落邻居|街道干部|工友情谊,年代人物关系怎么写|四合院关系网怎么写|工厂师徒怎么写,年代,年代人物关系要有单位、院落和街道三层约束，不能只写家庭内部矛盾。,年代文的角色不是孤立行动，背后都有组织评价和邻里眼光。,师徒管技术和名额，邻居管舆论，街道管手续，冲突要牵动这些关系。,年代熟人组织网,争取稳定生活和体面评价,受单位制度与院落舆论双重影响,师傅提携、邻居围观、干部调解、家人牵扯,现代职场关系乱入|单位权力缺席|邻居只负责吵架
CH-084,write|plan,快穿,知识补充,任务者人格|原主残留|委托者诉求|系统搭档,快穿主角人设怎么写|任务者和原主怎么区分|快穿系统关系怎么写,快穿,快穿主角要同时处理自我、原主残留和任务目标，不能像换皮万能人。,任务者的稳定魅力来自核心价值不变，但每个世界反应会被身份和原主关系牵制。,系统不是播报器，应有权限边界、隐瞒理由和长期关系变化。,任务者,完成任务同时保住自我边界,按核心价值行动但尊重世界身份,与系统互相试探，与原主关系网重新缝合,主角人格万能化|原主工具化|系统只会吐槽
CH-085,write|plan,游戏,知识补充,固定队关系|公会权责|指挥信任|队友短板,游戏队友怎么写|公会关系怎么写|电竞团队人设怎么做,游戏,游戏团队关系要有位置分工、资源分配和指挥信任，不能全员给主角当挂件。,团队戏的张力来自每个人都有操作价值和短板。,指挥、输出、辅助、坦位和后勤要各有判断，胜负会改变他们对主角的信任。,固定队,赢下副本并维护团队资源,以职业定位和团队利益判断行动,语音沟通、分锅复盘、资源分配、战术磨合,队友只喊666|职业定位无差异|公会资源随便拿
CH-086,write|plan,历史,知识补充,门生故吏|宗族姻亲|幕僚主君|政敌同盟,历史权谋关系怎么写|官场关系网怎么做|门阀姻亲怎么写,历史|古言,历史关系网要写门第、师承、姻亲和官位利益，不能只靠个人好恶推动。,权谋人物常常不是想不想，而是背后关系允许不允许。,同盟可能因旧恩站队，亲戚也可能因门第利益出卖，关系要服务权力格局。,权力关系网,保住家族与政治位置,按名分、利益和旧恩旧怨行动,主君试探、幕僚献策、姻亲牵制、政敌借力,现代朋友圈思维|官位利益缺席|所有人只围主角转
CH-087,write|plan,仙侠,知识补充,师徒因果|宗门派系|道侣边界|传承责任,仙侠师徒关系怎么写|宗门关系网怎么写|道侣怎么不俗,仙侠,仙侠关系要带因果和传承重量，师徒、道侣、同门都不能只当普通社交。,修行世界的人情往往和功法、资源、道心、宗门立场绑在一起。,师父给的不只是爱护，还有道统责任；同门竞争也不只是嫉妒，还有资源排序。,修行关系网,求道同时守住传承和立场,受因果、道统和资源分配影响,师徒托付、同门较量、道侣互证、宗门护短,师徒像现代朋友|宗门资源无限|道侣只负责发糖
CH-088,write|plan,幻言,知识补充,族群身份|契约伴侣|灵宠羁绊|禁忌亲缘,幻言人物关系怎么写|神妖恋关系网怎么做|灵宠怎么有戏,幻言,幻言关系要让族群、契约和寿命差持续施压，不能只写普通恋爱换皮。,超凡关系的甜虐来自亲密本身会触发规则后果。,伴侣可能共享伤害，族人可能阻拦，灵宠可能比人更早看清情绪。,超凡关系网,在禁忌与情感之间寻找归属,受血脉、契约、族规和寿命差牵引,契约互伤、族群审判、灵宠护主、身份暴露,族群规则无后果|灵宠只卖萌|寿命差被忽略
CH-089,write|plan,衍生,知识补充,原创主角融入|原著角色关系|粉丝期待|OOC防线,同人原创主角怎么写|OC怎么融入原作|同人关系怎么不抢戏,衍生,衍生原创主角要自然进入原作关系网，不能一出场就抢走所有核心位置。,OC的价值是制造新化学反应，而不是压扁原作人物。,让原作角色按原本性格接受、警惕或利用主角，关系推进要有事件支撑。,同人OC,改变命运但不破坏原作灵魂,在熟知剧情和尊重角色边界间行动,与原著角色建立新关系并引发可控偏移,OC万人迷|原作角色集体降智|主角替代所有名场面
CH-090,write|plan,快穿,知识补充,单元反派|剧情男主|目标人物|世界土著,快穿单元人物怎么写|每个世界反派怎么不重复|目标人物怎么写,快穿,快穿单元人物要有本世界逻辑，不能只按任务标签做纸片人。,被攻略、被复仇或被拯救的人都要先像真实世界里的人，再承担任务功能。,同一类目标在校园、宫廷、末世、娱乐圈里行为逻辑应完全不同。,单元目标群,维护自身利益或执念,按本世界身份和信息差行动,与任务者互相误判、试探、被改变或反噬,所有世界同款反派|目标人物只为任务服务|土著没有主动性
CH-091,write|plan,种田,知识补充,极品亲戚|道德绑架|贪利弱点|公开丢脸,种田极品亲戚怎么设定|吸血亲戚怎么写|家里反派怎么不脸谱,种田|年代,极品亲戚要有贪利方式和社会弱点，不能只靠嗓门大制造厌恶。,熟人社会里的坏人也怕名声、长辈、官面和证据。,设计其占便宜手段、常用话术、怕什么和被公开拆穿后的代价。,乡土反派亲戚,从主角家持续榨取资源,用亲情名分和舆论绑架他人,饭桌索取、门口撒泼、族老面前装委屈,坏得无理由|只吵不算计|被打脸后无成本
CH-092,write|plan,年代,知识补充,院里管事人|热心大妈|工厂师傅|街道调解员,年代配角怎么写|四合院大妈怎么写|街道干部怎么写,年代,年代配角要有岗位和脸面诉求，别只承担八卦功能。,院里和单位的配角是秩序节点，能制造压力也能提供保护。,管事人重平衡，师傅重手艺和名额，街道干部重稳定，热心邻居重风评。,年代秩序配角,维护自身威望和集体稳定,根据岗位职责和熟人脸面调停冲突,调解、作证、偏袒、敲打、暗中帮忙,配角只围观|干部像现代客服|所有大妈同一种嘴脸
CH-093,write|plan,衍生,知识补充,原著强者视角|土著震惊|克制吹捧|战力参照,同人怎么侧面写主角强|原著角色怎么评价主角|同人装逼怎么不崩,衍生,衍生里侧面吹主角要通过原作强者的判断体系，不能让所有人无脑震惊。,读者熟悉原作标尺，所以强弱必须落在可识别的参照物上。,让强者先按原作经验误判，再发现主角某个细节超出常识，吹捧要克制。,原著参照角色,维护原作立场和判断尊严,按熟悉的战力体系评估新变量,试探、压制、认可、警惕或拉拢主角,全员震惊|战力标尺失效|强者为了吹主角降智
CH-094,write|plan,种田,知识补充,村干部|里正族长|分水管事|秩序维护者,种田村干部怎么写|里正族长人设怎么做|分水管事怎么写,种田|年代|历史,种田秩序角色要有威望来源和利益顾虑，不能只当和事佬。,村里管事人既维护秩序，也会被人情和利益牵扯。,他可能懂规矩、怕出事、重脸面，也可能在关键时刻选择站队。,村社秩序者,维持村社稳定和自身威望,按规矩、人情和风险做判断,调解分地、分水、分粮和宗族争执,永远公正无私|只会和稀泥|没有利益顾虑
CH-095,write|plan,种田,知识补充,家庭劳力|老人孩子|分工成长|小家共同体,种田家庭群像怎么写|老人孩子怎么有用|家庭分工怎么写,种田,种田家庭成员要各有能力和负担，不能全员等主角养。,小家的温度来自每个人都在用自己的方式撑生活。,老人有人情和经验，孩子能带出希望，兄弟姐妹负责劳力、手艺或外部关系。,小家分工共同体,让家里活下去并一点点变好,按年龄、体力、经验和性格承担不同任务,互相拖累也互相支撑，改善后关系回暖,家人全是包袱|主角一人解决所有事|家庭改善没有情绪反馈
CH-096,write|plan,快穿,知识补充,委托者意识|原主残念|任务授权|情绪验收,快穿委托者怎么写|原主残念怎么用|任务完成怎么验收,快穿,委托者或原主残念要有明确诉求和验收标准，不能只当任务说明书。,原主的满意与否能决定任务的道德边界。,她可能要复仇、道歉、自救、放下或让某人知道真相，主角不能随便替她改愿望。,委托者残念,完成原主真正想要的结局,以生前执念和未说出口的愿望约束任务,在关键节点通过记忆、梦境或系统反馈提醒主角,原主愿望模糊|主角替原主做主|验收只看打脸成功
CH-097,write|plan,快穿,知识补充,世界意识|剧情惯性|修正者|偏差追踪,快穿世界意识怎么写|剧情惯性怎么拟人|修正者反派怎么写,快穿,世界意识或修正者要维护剧情惯性，不能只在主角太顺时突然捣乱。,快穿长线张力来自世界会反应主角的改动。,它可以通过巧合、人物梦境、修正者、规则回弹和偏差惩罚体现存在感。,世界修正者,把偏离的剧情拉回原轨或保护世界稳定,对异常角色敏感|会借土著之手修正|越到后期越主动,制造意外、追查主角、保护关键剧情节点,剧情回弹无规则|修正者只会强行开挂|世界变化没有记录
CH-098,write|plan,年代,知识补充,下乡知青|返城青年|本地青年|身份夹层,知青人设怎么写|返城青年怎么写|年代身份夹层怎么写,年代,知青和返城青年要写身份夹层感，不能只当恋爱或逆袭标签。,他们夹在城市记忆、乡土现实和政策机会之间。,知青可能有知识优势也有劳动短板，本地青年可能朴实也有现实算计。,身份夹层青年,在时代变动中寻找出路和归属,既渴望改变命运又受现实关系牵制,与村社、家庭、单位和感情线形成拉扯,知青全是高贵清醒|本地人全是陪衬|政策压力缺席
CH-099,write|plan,年代,知识补充,工厂师傅|学徒关系|手艺传承|名额担保,工厂师傅怎么写|年代学徒关系怎么立|师傅担保有什么用,年代,工厂师徒关系要带手艺、名额和担保责任，不是普通前辈后辈。,师傅一句话可能影响学徒转正、评优和技术成长。,师傅会护短也会敲打，因为徒弟出错会连带自己的脸面和信用。,工厂师徒,传手艺并维护自身名声,重规矩、看悟性、怕徒弟惹祸,教技术、作证、担保、训斥和暗中偏袒,师傅只负责送经验|学徒出错无连带|单位制度缺席
CH-100,write|plan,游戏,知识补充,生活玩家|后勤商人|材料商|情报贩子,游戏生活玩家怎么写|公会后勤怎么有戏|材料商人设怎么做,游戏,游戏后勤角色要掌握材料、情报和交易渠道，不能只负责给主角送装备。,游戏世界的资源流动本身就是关系网。,生活玩家可能战斗弱但掌握稀缺图纸，商人可能贪利但讲信用，情报贩子可能两头下注。,游戏资源中间人,用资源和信息换取地位与安全,按利润、信用和阵营风险行动,交易、压价、递消息、卡材料和关键时救场,后勤透明无成本|商人只会送钱|资源渠道没有争夺
CH-101,write|plan,幻言,知识补充,半妖身份|族群夹层|血脉歧视|双重归属,半妖人设怎么写|幻言族群夹层怎么写|血脉歧视角色怎么立,幻言,半妖或混血角色要写双重归属和双重排斥，不能只拿血脉当酷炫标签。,族群夹层感能天然制造身份痛点和关系张力。,他可能懂两边规矩却都不被完全接纳，也可能成为两族冲突的活证据。,族群夹层者,证明自己不只是两族错误的混合,在两套规则之间求生并寻找归属,被利用、被怀疑、被需要，也能成为桥梁或导火索,血脉只负责变强|歧视没有具体场景|身份痛点很快消失
