编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,技法类型,技法名称,适用场景,毒点,正例,反例
WT-066,write|plan,推理,知识补充,假设反证|证据链|推理呈现|线索分布,推理过程怎么写|证据链怎么呈现|悬疑解释怎么不枯燥,悬疑,推理段落按现象、假设、证据、反证、结论推进，让读者能跟着推而不是只听答案。,推理好看不是主角聪明，而是证据链一步步把错误答案挤掉。,每个关键结论至少对应一个证据和一个被排除的假设，读者才会觉得公平。,推理,假设反证推进法,案件复盘|规则推理|身份判断|生路推理,结论先行没有证据|证据只在最后空降|推理跳过关键步骤,如果钥匙在十点后才被拿走，那么九点半的脚步声就不是凶手，而是有人提前布置了误导。,主角闭眼想了想就知道真相，没有展示线索如何连接。
WT-067,write|plan,场景,知识补充,年代感|生活细节|时代语汇|制度约束|真实代入,年代感怎么写|时代细节怎么不堆|年代文语言怎么稳,年代,年代感要通过制度、物资、称呼和生活动作影响剧情，别把老物件当装饰清单。,时代细节只有参与人物选择，才会从背景变成故事压力。,票证、单位、邻里、供销社、口粮、称呼和政策边界都可以嵌入动作和对话，让读者感到角色真的活在那个年代。,场景,制度入动作年代感写法,年代日常|四合院|单位冲突|家庭饭桌,只堆老物件|现代口吻乱入|时代限制不影响人物决定,她没说自己缺布，只把磨白的袖口往里卷了卷，旁边大妈立刻看懂了她为什么不肯相亲。,屋里有搪瓷缸和老收音机，然后人物用现代职场话术聊天。
WT-068,write|plan,情感,知识补充,强情绪描写|感官动作心理|虐点表达|情感共鸣,女频情绪戏怎么写|虐点怎么写痛|情感描写怎么不空,现言|古言|幻言,强情绪场用触发、身体反应、动作选择和心理判断串联，不要只堆痛苦词。,女频高情绪描写要让读者看见角色为什么痛，也看见她痛完后做了什么选择。,视觉、声音、触觉、停顿和小动作都可以承载情绪，但每个细节都要和人物关系或旧伤有关。,情感,触发反应选择链,虐点|决裂|重逢|告白失败|道歉无力,连续堆悲伤绝望等抽象词|情绪和人物经历无关|哭完不改变行动,听见那句和她一样时，她没有哭，只是把已经签好的名字慢慢划掉，纸都被笔尖刮破了。,她非常痛苦非常绝望非常伤心，心里有说不出的复杂感情。
WT-069,write|plan,视角,知识补充,反派视角|有限信息|认知盲区|敌方推演|翻车铺垫,反派视角怎么写|敌方计划怎么呈现|反派翻车怎么不降智,全部,反派视角只展示他知道的信息和合理判断，保留主角真正变量，翻车才不显得降智。,反派不是为了失败而存在，他的视角要让读者承认他当时那样判断是有道理的。,写反派计划时给资源、判断依据和盲区三项，后续让盲区被前文小变量击穿，失败就会更爽。,视角,有限信息反派推演法,反派布局|阶段高潮前|智斗对抗|翻车铺垫,反派故意忽略明显线索|反派视角泄露太多主角底牌|失败只靠突然变蠢,他查过所有参赛者的背景，唯独没有把那个送水的杂役写进名单，因为那人三个月前还只是个哑巴。,反派明明看到所有证据却强行不信，最后失败只因为作者要他输。
WT-070,write|plan,短篇,知识补充,第一人称|有限视角|内心独白|强代入,第一人称怎么写真实|短篇我视角怎么写|内心独白怎么不尬,全部,第一人称只写我能感知和推断的内容，用误判和盲区制造代入，不要上帝视角乱入。,第一人称最有力的是现场感和不确定感，而不是把所有背景解释给读者。,内心独白要贴近当下反应，优先写感官、判断和恐惧，少做长篇设定说明。,视角,第一人称有限认知法,短篇开头|悬疑误导|情绪冲突|付费卡点,我视角知道太多别人心理|内心独白像说明书|每段都在解释设定,我听见门锁响了两下，第一反应不是怕，是想起昨晚我明明把备用钥匙吞进了马桶。,我知道他们所有人的真实想法，也知道幕后黑手正藏在三楼。
WT-071,write|plan,规则,知识补充,规则语言|冷漠条款|异常措辞|可执行恐怖,规则怪谈语言怎么写|规则文本怎么吓人|守则怎么不空,悬疑,规则语言要先像真条款一样能执行，再用冷漠措辞和异常例外制造不安。,规则文本的恐怖感来自它把荒谬危险写得像普通管理要求。,短句、编号、条件、例外、违规后果和不解释原因都能增加真实感和推理价值。,规则,冷漠可执行规则写法,规则公告|副本守则|医院校规|员工手册,规则过于文学化无法执行|每条都只会吓人|没有条件和后果,二十三点后请勿回应走廊内任何人对你姓名的呼唤，包括亲属。,夜色吞没灵魂时请聆听命运的哀嚎，像气氛文案不是真规则。
WT-072,write|plan,恐怖,知识补充,恐怖递进|感官异常|日常偏差|心理压迫,恐怖氛围怎么递进|怎么不靠突脸吓人|规则怪谈压迫感,悬疑,恐怖描写从正常到轻微异常再到无法解释，递进比突脸更稳。,低成本恐怖靠日常偏差，读者越熟悉场景，异常越小越扎人。,先建立稳定秩序，再改一个声音、光影、气味或空间细节，最后让角色意识到规则正在靠近。,场景,日常偏差递进恐怖法,夜班|宿舍|医院|车站|规则副本,开场直接堆血腥|异常没有递进|角色不作任何合理反应,走廊尽头的灯每隔三秒闪一次，直到第七次，灯光里多站了一个人。,突然冒出鬼脸吓主角，之后没有规则意义。
WT-073,write|plan,战斗,知识补充,动作连续性|空间方位|战斗节奏|招式结果,战斗动作怎么写清楚|打斗空间怎么写|玄幻战斗不乱怎么办,玄幻|仙侠|游戏|奇幻,战斗动作要让位置、动作、反应和结果连续可追踪，别把镜头切碎。,清楚的动作戏不是细节越多越好，而是每一步都能看见因果。,先定距离和站位，再写攻击、闪避、反击和代价，必要时用环境物帮读者定位。,动作,空间连续动作链,近战|团战|追逐战|擂台战,只有光效和招式名|人物位置忽远忽近|攻击没有结果,他被逼到石柱左侧，退路只剩半步，所以那一剑不是刺向人，而是先斩断柱脚。,两人化作残影打了三百回合，读者不知道谁在哪。
WT-074,write|plan,潜台词,知识补充,替身潜台词|信息不对称|沉默|转移话题,替身文潜台词怎么写|话里有话怎么写|沉默怎么有意义,现言|古言,潜台词要基于信息不对称，让角色说表面话时同时暴露隐瞒、试探或逃避。,替身文对话的刺痛来自双方都没把真相说满，却已经被细节扎到。,旧称呼、停顿、改口、避开名字和突然转移话题都是高效潜台词工具。,对话,信息差潜台词法,替身文|误会期|冷战|追妻对话,所有话都直白解释|沉默没有信息|潜台词读不出具体指向,“你喜欢这个颜色？”她问。他顿了顿，说：“以前有人喜欢。”这句以前比名字更伤人。,“你把我当替身我很伤心。”潜台词被直接说穿，张力消失。
WT-075,write|plan,世情,知识补充,生活化情绪|克制留白|社会现实|细节共鸣,世情文怎么写情绪|亲情描写怎么克制|生活细节怎么写共鸣,现言|年代|都市,世情情绪用生活动作和留白承载，让读者从细节里自己读出委屈。,世情文最忌大喊大叫替代真实生活压力。,钱、饭、病、房、工作、邻里眼光这些现实细节，能比抒情句更快让读者共鸣。,情感,生活细节留白法,亲情冲突|婚姻裂缝|邻里关系|职场压力,情绪全靠旁白喊|社会现实缺席|角色像悬浮人,她没说自己没吃晚饭，只把碗里最后一块肉夹给父亲，又低头喝了一口已经凉透的汤。,她非常痛苦，因为家人都不理解她，作者直接替角色喊完情绪。
WT-076,write|plan,快穿,知识补充,快穿信息压缩|身份接收|任务提示|世界差异,快穿开局怎么快速交代|任务信息怎么不水|世界设定怎么压缩,快穿,快穿开局用现场危机和零碎信息拼身份，少用系统长篇播报。,快穿信息压缩的重点是让读者边看危机边理解身份，而不是先背设定。,称呼、物件、身体状态、手机记录、旁人反应和短提示可以共同完成世界接入。,叙事,危机拼图式快穿开局,快穿单元开头|任务突变|身份误判,系统一次性灌输设定|世界背景介绍太久|开局没有现实压力,她还没看清镜子里的脸，门外已经有人喊少夫人，老爷让你去祠堂认错。,系统把原主二十年经历完整讲完，读者还没进入场景。
WT-077,write|plan,历史,知识补充,制度约束|官场语言|时代口吻|权力边界,历史文怎么写制度感|官场对话怎么写|权谋文怎么不悬浮,历史,历史写法要让制度影响人物选择，官职、礼法和风险不能只当背景。,历史文可信度来自角色被时代规则约束，而不是现代人随便套古装。,奏报、门第、军令、户籍、税粮和礼制都应具体改变角色能说什么、能做什么。,叙事,制度约束入戏法,朝堂|军营|官场|家族权力,现代自由人思维乱入|制度只在设定里|角色随便越级行动,他没有立刻反驳，因为这句话若在堂上出口，先倒霉的不是对方，而是替他作保的老师。,主角在朝堂像开会一样随便插话，所有官员都听他讲道理。
WT-078,write|plan,种田,知识补充,经营细节|成本收益|手艺流程|生活质感,种田文怎么写经营细节|做生意怎么不流水账|手艺流程怎么写,种田,种田经营要写成本、工序、失败和口碑反馈，别只写做出来就卖爆。,种田文的质感来自手艺和生活细节，收益必须经过真实过程。,从备料、试做、损耗、定价、试卖到复购，每一步都能承载人物能力和现实压力。,经营,工序成本口碑链,摆摊|作坊|农活|小店经营,跳过工序直接赚钱|成本不存在|所有顾客无脑买单,第一锅酱熬糊了半边，她没舍得倒，反而用那点焦香改了第二锅的火候。,她随便做了点吃食，大家都惊为天人，很快赚了很多钱。
WT-079,write|plan,仙侠,知识补充,修行描写|心境变化|法术质感|清静张力,仙侠修行怎么写|打坐突破怎么不空|心境怎么表现,仙侠,仙侠修行要写身心变化和法理理解，不要只写灵气运转几个周天。,修行戏的重点是角色对道、己身和欲望的理解发生变化。,可用呼吸、经脉、外物静动、旧念浮起和一处法理领悟来承载突破过程。,修行,心境法理同步写法,闭关|渡劫前|突破|顿悟,只写灵气狂涌|心境没有变化|突破像数值升级,她听见雨声落在檐角，忽然明白自己这些年修的不是无情，是不敢有情。,他盘膝坐下，灵气运行三十六周天，然后突破了。
WT-080,write|plan,快穿,知识补充,单元差异|世界语气|角色适配|任务口吻,快穿每个世界怎么不一样|世界语气怎么换|快穿单元文风怎么区分,快穿,每个快穿世界要换语汇、关系压力和叙事节奏，不能只换角色名字。,快穿单元的新鲜感来自世界规则和人情逻辑的变化。,校园世界重视舆论和青春关系，古代世界重视礼制身份，末世世界重视资源与生存，写法要跟着变。,叙事,单元语境切换法,快穿新世界|任务切换|单元开头,所有世界说话方式一样|世界差异只靠服装|任务逻辑不随环境变化,她在上个世界可以报警，这个世界却连出门都要先拿到主母的对牌。,每个世界人物都用同一种现代网文腔说话。
WT-081,write|plan,游戏,知识补充,赛事解说|操作细节|战术沟通|团战信息,电竞比赛怎么写|游戏操作怎么写清楚|赛事解说怎么有燃点,游戏,电竞写法要把操作、沟通、地图信息和解说反应合在一起，别只写他很强。,电竞爽点来自读者看懂他为什么强，而不是只听旁人夸。,技能冷却、视野控制、资源点、走位和队内指令都是呈现实力的抓手。,竞技,操作战术同步写法,电竞比赛|团战|翻盘局|训练赛,只写手速快和全场震惊|读者看不懂操作价值|解说替代过程,“龙坑没眼。”队长话音刚落，他已经把位移留给第二段进场，等的就是对面辅助交控。,他操作极快，一套连招打出，全场都惊呆了。
WT-082,write|plan,科幻,知识补充,技术限制|工程细节|科幻质感|代价推演,科幻技术怎么写可信|黑科技怎么不万能|工程感怎么写,科幻,科幻技术要写功能、限制、成本和故障模式，不能只用黑科技解决一切。,可信的科幻感来自技术边界，而不是名词越多越高级。,能源、散热、延迟、权限、维护和伦理成本都可以成为技术冲突来源。,设定,技术边界工程写法,星舰|AI|机甲|赛博设备,技术万能无代价|术语堆砌不影响剧情|故障只为临时制造麻烦,义眼能看穿墙体，却会在强磁区留下半秒雪花，这半秒足够让杀手藏进盲区。,他启动高科技装置，所有问题瞬间解决。
WT-083,write|plan,幻言,知识补充,神妖情感|禁忌恋|血脉感应|超凡亲密,幻言感情戏怎么写|神妖恋怎么有张力|血脉感应怎么不俗,幻言,幻言情感要让超凡设定参与亲密和阻碍，不能只披神妖皮写普通恋爱。,幻言的甜虐来自情感和族群规则互相冲撞。,血脉感应、契约反噬、寿命差、族规禁忌和灵力共鸣都可以成为情感细节。,情感,超凡规则参与情感法,神妖恋|契约伴侣|禁忌恋|身份揭露,超凡设定只当装饰|恋爱冲突和普通现言一样|血脉感应随便救场,他握住她手腕时，契印没有发亮，反倒像被什么旧誓压住，一寸寸暗下去。,他们虽然一个是神一个是妖，但恋爱矛盾和普通情侣完全一样。
WT-084,write|plan,衍生,知识补充,同人画风|原作语气|角色不OOC|设定兼容,同人怎么不OOC|衍生文怎么贴原作|角色语气怎么保持,衍生,衍生写法先保原作角色的价值观和说话节奏，再处理新剧情。,同人最怕只借名字不借灵魂，角色行为必须能回到原作逻辑里。,改剧情可以，但角色的底线、反应速度、称呼习惯和核心关系不能随便重写。,视角,原作逻辑对齐法,同人续写|if线|原创角色互动|跨世界融合,角色只剩名字|口吻完全换人|新设定压倒原作逻辑,他没有立刻答应救人，而是先问代价是什么，这才像那个从不轻信奇迹的人。,原作冷静角色突然无理由热血大喊相信爱能解决一切。
WT-085,write|plan,年代,知识补充,年代细节|生活物件|单位口吻|日常融入,年代文细节怎么写|四合院年代感怎么写|年代口吻怎么自然,年代,年代感要让物件、票证、单位和邻里关系进入动作里，不能像展览清单一样硬摆。,年代文可信度来自生活压力和熟人社会的共同约束。,把吃穿用度、工作名额、院里议论和家庭分配嵌进角色选择，让时代不是背景板。,描写,年代细节入戏法,四合院|工厂|村镇|家庭饭桌,堆砌老物件|现代人思维套旧时代|时代只靠年份提示,她把搪瓷缸往桌角一放，先问的不是钱，而是这月粮票还能不能撑到月底。,他站在院里讲现代管理学，邻居们全都听得心服口服。
WT-086,write|plan,历史,知识补充,官场称谓|礼法压力|越级风险|时代边界,历史对话怎么写|古代官场称谓怎么写|权谋对白怎么不现代,历史|古言,历史对白要体现身份差、称谓和风险，不能让所有人像现代职场一样平等争辩。,古代语感不是堆古词，而是每句话都知道谁能说、谁不能说。,同一句话在家宴、堂审、军帐和朝会上风险不同，写前先判断场域权力。,对话,场域身份控词法,朝堂|衙门|军帐|宗族议事,全员现代口吻|称谓混乱|下级随便训上级,县丞垂着眼回话，先称大人，再把责任轻轻推回账册上的旧印。,小吏拍桌子说大家都别装了我们开诚布公。
WT-087,write|plan,种田,知识补充,基建阶段|生存优先|工程进度|反馈闭环,基建种田怎么写|村庄建设怎么排阶段|经营进度怎么写,种田|历史|奇幻,种田基建要先解决生存再谈扩张，每个工程都要有材料、人手、时间和回报。,建设爽感来自从缺口到改善的连续反馈，不是宣布建成。,水源、仓储、道路、工具、交易渠道应逐层推进，阶段完成后用生活变化兑现。,结构,需求层级建设法,荒村开局|领地建设|作坊扩张|家族经营,跳过建设过程|资源无限|民众只会鼓掌,第一批砖没用来修门楼，而是先垫了晒谷场，雨后粮食终于不用烂在泥里。,他一句话修起十座工坊，从此领地立刻富庶。
WT-088,write|plan,快穿,知识补充,原主执念|任务边界|单元收束|虐渣尺度,快穿任务怎么写|原主执念怎么回收|快穿单元怎么结尾,快穿,快穿单元要把任务、原主遗憾和世界代价同时收束，不能只完成打脸就跳世界。,任务完成的痛快要落在原主命运被改写和读者怨气被释放上。,每个世界开篇先交代压迫关系和任务边界，结尾给出评价、余波或情感残留。,叙事,执念任务双回收法,快穿单元结尾|虐渣反杀|任务复盘,只爽不收束|原主像工具人|任务评价无意义,系统播报前，她先把那封迟到十年的道歉信烧给了原主的母亲。,她打脸全场后立刻进入下个世界，前身留下的亲人再也没人提。
WT-089,write|plan,仙侠,知识补充,渡劫内外压|底牌耗尽|人祸夹击|意志破关,渡劫怎么写燃|仙侠飞升怎么写|天劫高潮怎么排,仙侠|玄幻,渡劫高潮要同时压天灾、人祸和心魔，底牌逐层耗尽后才有破关重量。,仙侠大场面不能只堆雷光，必须让角色为成道付出真实代价。,法宝碎、旧敌扰、心魔问道和肉身硬撑应形成递进，把破境写成选择而非奖励。,高潮,天劫人祸并压法,渡劫|飞升|卷末破境|心魔关,异象空转|底牌无穷|渡劫没有选择,最后一道雷落下时，他没再祭剑，只把碎成两截的本命玉扣进掌心。,天空电闪雷鸣，他大喊一声我命由我，然后直接飞升。
WT-090,write|plan,仙侠,知识补充,论道辩经|道心交锋|异象克制|文斗爽点,仙侠论道怎么写|辩经怎么不尬|修仙文嘴炮怎么写,仙侠|玄幻,仙侠论道要让观点对应人物修行路径，不能只用漂亮话赢辩论。,论道的爽点是道心相撞，不是主角背现代鸡汤。,先立对方的道理，再找其自洽缺口，最后用主角经历给出自己的道。,对话,道心攻防写法,论道|辩经|宗门文斗|师徒争执,空泛说教|现代鸡汤乱入|对手像稻草人,他没有否认无情道，只问那位长老若真无情，为何还替亡徒守了三十年灯。,他说每个人都要做自己，全场修士立刻悟道。
WT-091,write|plan,幻言,知识补充,契约反噬|族群禁忌|灵性细节|情感可视化,幻言契约怎么写|神妖恋细节怎么写|灵宠互动怎么写,幻言,幻言细节要让契约、血脉、灵物和族规持续影响亲密关系。,超凡恋爱好看在规则既能保护也能伤人。,把情绪变化落到契印冷热、灵力失衡、族群反应和寿命差上，避免只换皮谈恋爱。,情感,超凡亲密具象法,契约伴侣|神妖恋|灵兽认主|身份暴露,设定只服务救场|族规没有后果|超凡细节一次性使用,她说不疼，可腕上的契纹暗得像一截死灰，连守门灵鹤都退了半步。,他们是妖和神，但除了称呼之外所有恋爱桥段都像都市偶像剧。
WT-092,write|plan,衍生,知识补充,蝴蝶效应|原作节点|剧情偏移|崩坏收束,同人改剧情怎么写|蝴蝶效应怎么控制|原作线怎么不崩,衍生,衍生改线要写清直接后果和长期波纹，不能救一个人却让世界毫无变化。,同人新鲜感来自原作节点被改写后仍能回到新的核心冲突。,每次介入都要安排反派反应、阵营变化和新危机，让读者相信剧情真的被推动。,结构,蝴蝶效应收束法,救意难平|if线|时间线改写|原创角色介入,改动无后果|原作照抄|剧情完全失控,他救下那个人的第二天，原本该沉默的反派提前递出了战书。,主角改变大战结局后，后续事件仍和原作一模一样。
WT-093,write|plan,游戏,知识补充,数值读法|冷却窗口|队伍语音|战术克制,游戏战斗怎么写|副本机制怎么写|网游团战怎么写清楚,游戏,游戏文要把机制读法写出来，让读者知道胜负不是作者说了算。,战斗可读性来自技能窗口、站位变化、资源交换和队友分工。,写团战时用一两个关键机制承载胜负，不要同时丢满屏技能名。,动作,机制窗口写法,副本开荒|竞技场|团战|公会战,技能名轰炸|规则临时改|队友只喊加油,治疗抬手的半秒，他故意不交位移，等的就是对面刺客先露影。,屏幕上光效炸开，大家技能全放，主角赢了。
WT-094,write|plan,种田,知识补充,极品亲戚|乡土冲突|名声压力|公开裁决,种田极品亲戚怎么写|家长里短冲突怎么写|村里打脸怎么写,种田|年代,种田亲缘冲突要抓名声、资源和长辈秩序，不能只写单纯坏人撒泼。,家长里短的爽点来自主角在熟人社会里把理、证据和人心都拿住。,让亲戚贪小便宜有具体手段，也给主角公开拆穿的场合和后续边界。,冲突,熟人社会打脸法,分家|借粮|彩礼|邻里争执,反派只会尖叫|主角无限忍让|打脸后关系无后果,她没吵，只把借粮的记账本摊在祠堂桌上，先请三叔公念第一笔。,恶毒亲戚辱骂主角，主角骂回去后全村立刻敬佩。
WT-095,write|plan,年代,知识补充,单位关系|名额分配|集体评价|熟人秩序,年代单位戏怎么写|工厂人情怎么写|名额争夺怎么写,年代,年代单位戏要写名额、评语、师徒和集体意见，别把工厂写成现代公司。,单位是年代文的权力场，工资、房子、先进名额和介绍信都会改变人物命运。,冲突要落到谁能签字、谁敢作证、谁怕丢评优上。,叙事,单位权力网写法,国营厂|供销社|学校|街道办,公司话术乱入|领导权力模糊|集体评价无影响,车间主任没骂人，只把他的先进名单往旁边挪了一格，整间屋子都安静了。,老板开会宣布KPI，工人们马上展开职场内卷。
WT-096,write|plan,衍生,知识补充,角色声线|口癖克制|句式还原|语气校准,同人角色语气怎么写|口癖怎么用|角色说话怎么不OOC,衍生,同人角色声线要抓句式、价值观和反应节奏，口癖只能点到为止。,会说那句话不等于像那个人，关键是他在压力下如何判断。,每段对话都检查词汇长度、情绪外放程度、称呼习惯和是否符合原作关系。,对话,声线三层校准法,原著角色初遇|CP互动|战前对白|日常发糖,口癖堆砌|所有角色同一腔调|为了剧情强行换性格,他只说了半句，先把账算清，再决定要不要伸手救人。,冷面角色突然连续卖萌吐槽，像换了一个人。
WT-097,write|plan,历史,知识补充,案卷证据|旧例引用|公堂节奏|文书细节,历史案卷怎么写|公堂证据怎么写|翻案文书怎么写,历史|古言,历史翻案要让证据经过文书、证人和旧例三重落地，不能靠主角一句真相。,案卷戏的可信度来自证据链，而不是主角的洞察光环。,供词、印信、账册、旧判例和证人身份都应互相咬合，缺一环就留风险。,叙事,文书证据链写法,翻案|公堂|弹劾|旧案重审,证据凭空出现|口头推理替代文书|旧例只当装饰,他没有先喊冤，而是请堂官核对那枚朱印和五年前粮册上的骑缝章。,主角说出真相，所有人立刻相信。
WT-098,write|plan,种田,知识补充,生活复利|小物反馈|日常改善|安全感描写,种田慢爽怎么写|生活改善怎么不水|小日子变好怎么写,种田|年代,种田慢爽要把每次收益落成生活变化，别只写数字上涨。,生活流的复利要靠小物件和小习惯变化让读者感到踏实。,从一顿热饭、一床厚被、一盏油灯到一个稳定熟客，都能成为成长刻度。,描写,生活改善刻度法,日常过渡|经营回报|家庭关系缓和|灾后恢复,只写赚了多少|生活细节不变|改善没有人物反应,新棉被晒在院里时，妹妹摸了三遍，最后小声问今晚能不能早点睡。,主角收入翻倍，但生活状态和家人态度完全没变。
WT-099,write|plan,快穿,知识补充,信息压缩|单元开局|任务说明|世界差异,快穿开局怎么不啰嗦|任务信息怎么交代|单元切换怎么写,快穿,快穿信息交代要先给困境再补规则，避免开头被系统说明拖死。,单元文节奏快，但不能快到读者不知道谁欠谁。,用现场危机、原主记忆碎片和系统关键句三段交代，比整段设定说明更适合快穿。,叙事,困境先行交代法,新世界开局|任务发布|身份切换|剧情偏差,设定说明过长|任务目标空泛|原主怨气不具体,她先听见杯子砸碎声，才从原主记忆里看见这场订婚宴已经被人安排成羞辱局。,系统先用两千字解释世界观和人物关系。
WT-100,write|plan,幻言,知识补充,超凡感官|灵力共鸣|契约痛感|异类视角,幻言感官怎么写|灵力共鸣怎么描写|神妖视角怎么写,幻言,幻言感官要和种族、灵力、契约绑定，不能只写普通五感加仙气词。,超凡视角的魅力来自角色感知世界的方式和人类不同。,妖族可闻情绪，神族可感誓约，契约者可共痛，灵物可先于人察觉危险。,描写,超凡感官差异法,神妖恋|契约反噬|灵宠视角|身份暴露,五感普通化|灵力只发光|异类角色像普通人,她听不见谎言，却能闻到他话尾那点发冷的誓约味。,她看见灵力很漂亮，然后两人继续普通恋爱。
WT-101,write|plan,仙侠,知识补充,法术限制|灵力消耗|克制关系|战斗读法,仙侠斗法怎么写清楚|法术战斗怎么不乱|灵力消耗怎么写,仙侠|玄幻,仙侠斗法要写清法术功能、克制和消耗，不要满屏招式名互炸。,斗法的爽点来自读者看懂主角为什么这一招能破局。,灵力余量、施法距离、法器承载、五行克制和场地灵气都能构成战斗逻辑。,动作,法术克制读法,斗法|宗门比试|秘境战斗|越阶反杀,招式名堆砌|灵力无限|克制关系临时发明,他没有硬接火鸦符，而是先割断阵眼旁的水脉，让对方的火势少了三成。,双方大喊招式名，光芒爆炸后主角赢了。
WT-102,write|plan,衍生,知识补充,粉丝服务|原作梗回收|克制致敬|情绪精准,同人粉丝服务怎么写|原作梗怎么用|致敬怎么不尴尬,衍生,同人致敬要少而准，命中角色和名场面的情绪核心，不要堆梗刷存在感。,粉丝服务的关键是让读者会心，而不是让正文变成梗清单。,旧台词、道具和场景只能在情绪对位时使用，出现后要推动当前剧情。,叙事,克制回响致敬法,名场面变奏|角色初遇|日常发糖|结局回响,原作梗堆砌|强行玩梗破坏气氛|致敬不推动剧情,他没有完整说出那句名台词，只在相同的位置停了一下，读者已经知道他想起了谁。,角色连续引用原作名梗，剧情像弹幕合集。
WT-103,write|plan,年代,知识补充,时代口语|熟人寒暄|避讳表达|集体语汇,年代对话怎么写|四合院口语怎么自然|年代话术怎么不现代,年代,年代对话要用岗位、票证、面子和集体话语组织句子，少用现代情绪词。,年代口吻不是硬塞方言，而是人物说话时默认单位和邻里都在场。,寒暄可绕生活物资，批评常借集体评价，表达委屈也会顾脸面。,对话,集体语境口语法,院落争执|单位谈话|饭桌冲突|邻里寒暄,现代网感词乱入|方言过量|所有人直白表达心理,她没说自己委屈，只问那半斤油票是不是也算公家的安排。,她说我真的很内耗，你们边界感太差了。
WT-104,write|plan,古言,知识补充,宅斗留白|礼制暗刺|称呼变化|体面冲突,宅斗对话怎么写|古言暗讽怎么写|礼制冲突怎么写,古言|历史,宅斗和古言冲突要让刀藏在礼数里，别让角色像现代人当面撕破脸。,体面场合越克制，暗刺越有杀伤力。,称呼升降、座次安排、赏赐轻重和一句客气话都能变成攻击。,对话,礼制暗刺写法,家宴|请安|赐婚|后宅争权,当面泼妇骂街|礼制无作用|潜台词被说破,她笑着叫了一声姐姐，却把茶盏稳稳放在了下首的位置。,她当众大骂对方心机深沉，所有人都拍手称快。
