编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,命名对象,规则,正例,反例,毒点
NR-038,write|plan,章节名,知识补充,结果先行章名|先抛结局的标题|章名剧透钩子|结果型标题,章名先给结果怎么写|剧透式标题怎么起|章节标题怎么更抓人,悬疑|现言,结果先行型标题要先给异常结果，再让正文解释过程，别把最关键的底牌直接剧透光。,结果先行型章名适合高冲突章节，它用一句已发生的结果逼读者追问过程。,她还是来了、婚礼取消了、第七码头失火了，这类标题先把局面掀开，再靠过程补足冲击。,章节名,结果必须具体且有反常性，能倒逼读者想知道为什么，不要只是普通事件报幕。,婚礼取消了|她还是来了|第七码头失火了,事情发生了|有结果感但完全不具体,
NR-039,write|plan,章节名,知识补充,命令句章名|警告式标题|祈使句标题|不要开门,命令句标题怎么起|警告式章名怎么写|不要XX这种标题怎么做,悬疑|科幻,命令句标题要像从世界规则里直接撕下来的一句警告，短、狠、带后果感。,祈使句章名天然带压迫和规则感，适合危险临界点、禁令触发点和认知翻面章节。,不要回头、先关灯、别叫她名字，这类标题能迅速把读者拉进一条高压规则。,章节名,尽量用可执行动作和明确对象，避免空泛口号式命令。,不要回头|先关灯|别叫她名字,请大家一定要认真思考人生|不像章节钩子,
NR-040,write|plan,卷名,知识补充,母题递变卷名|意象递进|多卷命名体系|卷名统一,多卷标题怎么递进|卷名怎么有同一母题|系列卷名怎么排,全部,多卷标题可以围绕同一母题变奏，让每一卷既像同一家族，又能看出阶段升级。,母题递变型卷名能给长篇建立整体审美和结构秩序，尤其适合多卷长线。,如果母题是灯，就可以从点灯、守灯、焚灯、灭灯、复灯递进；既统一，也自然承载成长和局势变化。,卷名,统一同一母题、同一抽象层级和同一语言风格，让卷名递进而不跳调。,点灯之夜|守灯之城|焚灯之冬,第一卷北境|第二卷命运诗篇|第三卷狠狠干|体系完全散,
NR-041,write|plan|init,地标,知识补充,区域命名|街区命名|城区名字|地图分层|地带命名,地图区域怎么起名|城区名字怎么写|街区分层怎么命名,都市|科幻|奇幻|悬疑,区域名要优先体现功能、阶层或危险特征，让读者一听就知道那地方是什么生态。,街区和区域命名最稳的方式，是把地段功能、阶层气味或历史别称压进名字里。,像下城区、旧港区、红灯巷、灰井层这类名字，都能在第一次出现时就替地图补半层设定。,区域街区名,名称最好挂一层地理、产业、阶层或旧事件来源，避免空泛的东一区西二区。,旧港区|灰井层|琉灯街,A1区|新地方一号|缺少气质和功能信息,
NR-042,write|plan|init,组织,知识补充,组织命名|派系命名|势力名字|阵营命名|帮派命名,组织名怎么起|派系怎么命名|势力名字怎么更稳,玄幻|历史|奇幻|都市,势力名要把权力来源、行动风格或信仰母题写进名字，不要所有组织都叫某某盟某某会。,组织派系名要让读者一眼感到这个势力靠什么立身，走什么风格，属于什么文化系统。,审判庭、夜巡署、白塔议会、赤潮帮这类名字都比抽象大词更能立住功能和气质。,组织派系名,名称要和权力结构、行动方式或文化来源挂钩，同一体系下的势力名应保持语系统一。,白塔议会|夜巡署|赤潮帮,最强组织联盟|又空又俗，没有身份信息,
NR-043,write|plan|init,制度,知识补充,协议命名|条约命名|法案命名|计划书命名|制度名,条约怎么命名|协议名字怎么写|法案和计划怎么起名,科幻|悬疑|古言|都市,协议、条约和法案名要体现约束对象与核心内容，别只追求酷炫代号。,制度文本的名字越清楚，剧情里引用和冲突时越有力量。,像熄灯后通行条例、海雾停战协定、深层样本封存法案，这类名字都兼顾了功能感和世界观信息。,协议条约法案名,优先点出对象、场景和核心约束，必要时再叠加一层官方或历史语气。,海雾停战协定|深层样本封存法案|夜航回避条例,终极协议|听起来大，但不知道管什么,
NR-044,write|plan|init,称号,知识补充,榜单命名|榜名|称号系统|排名名|封号榜,榜单怎么起名|排行榜叫什么|称号体系怎么命名,玄幻|游戏|都市,榜名和称号体系先说明评价维度和社会含金量，再考虑气势和逼格。,榜单名越清楚它在比什么、谁在认这个标准，后续放榜和争榜就越有戏。,通缉榜、群星榜、青云榜、黑金席位这类名字都带着明确的评价场和社会分量。,榜名单称号,命名时要考虑评选主体、比较维度和读者记忆点，别用过多生词造成理解门槛。,青云榜|黑金席位|七城通缉榜,宇宙超神至尊榜|只剩堆词，没有秩序感,
NR-045,write|plan,终章,知识补充,终章标题|返题型标题|回环式章名|收束命名|终局标题,终章标题怎么起|结局怎么回扣标题|回环式章名怎么做,全部,终章标题若要返题，必须回扣全书母题或开篇承诺，而不是生硬重复书名。,返题型终章标题最有效的时候，是它让读者意识到故事走了一圈，终于抵达开篇没说透的真正含义。,可以回扣开篇一句话、核心意象或书名关键词，让终章标题本身就形成收束感和余味。,终章标题,返题不是照抄，而是回扣母题并产生新含义，让标题在结尾完成二次发光。,灯还亮着|于是长夜有了名字|最后一条校规,大结局|终章完结|只有管理意义，没有文学和情绪价值,
NR-046,write|plan|init,书名,知识补充,书名命名|卖点直译|爆款标题|核心梗标题,书名怎么突出卖点|爆款书名怎么起|标题怎么让读者秒懂,全部,书名先抓核心卖点和主角处境，再决定直给、反差、悬念或意象路线。,网文书名首先承担点击承诺，读者要能从名字里看见题材、爽点或情绪钩子。,如果作品靠金手指、身份反转、重生复仇或规则怪谈吃饭，标题就应优先露出最能带动点击的那一层。,书名,卖点锚定书名法,优先提取题材|主角身份|核心外挂|情绪承诺，再做标题包装。,重生后我把偏心账本掀了|规则降临后我听见了错误答案,云尽处|名字有意境但看不出题材和卖点
NR-047,write|plan|init,书名,知识补充,悬念钩子|问题式标题|反差标题|点击疑问,悬念型书名怎么起|问题式标题怎么写|标题怎么吊胃口,悬疑|现言|都市|快穿,悬念型书名要提出具体疑问或反常状态，不能只堆神秘词。,好悬念标题会让读者立刻想问为什么，并相信正文会给答案。,可以用异常规则、反常身份、倒计时、禁忌动作和关系错位做标题钩子，问题越具体越有点击力。,书名,具体疑问式悬念标题,标题里最好出现一个可被正文兑现的谜题或反常规则。,她死后的第三天还在给我发消息|我家门口贴着第七条校规,迷雾之下|悬念太虚，缺少具体点击问题
NR-048,write|plan,卷名,知识补充,卷名设计|阶段标题|成长阶段|卷级命名,卷名怎么起|长篇每卷叫什么|卷级标题怎么统一,全部,卷名要对应阶段目标和情绪走向，避免每卷都只叫风云再起。,卷名是长篇结构的路标，读者应能从卷名感到主角站到了新台阶。,可以按地点、敌人、成长阶段、情感节点或母题意象命名，但同一本书内部要保持同一语系。,卷名,阶段目标式卷名,每卷标题应对应本卷主冲突、主地图或主成长结果。,旧城起火|青云试剑|归家之前,第一卷|第二卷|只有编号没有情绪和结构信息
NR-049,write|plan,章节,知识补充,章节名|章名模板|悬念钓鱼|断章标题,章节名怎么起|章名怎么有追读|标题怎么不断章剧透,全部,章节名可以给问题、冲突或情绪信号，但不要提前剧透最大反转。,好的章节名像小钩子，让读者知道这一章有事发生，却不把答案先交出去。,可用谁来了、不能说的名字、最后一张票、他没有撒谎等结构制造追读，重点是信号明确而答案保留。,章节标题,悬念信号式章名,适合重要转折、真相揭露前、关系爆点和章末钩子章节。,第42章 他没有撒谎|第73章 最后一张粮票,第42章 真凶就是舅舅|提前剧透核心反转
NR-050,write|plan|init,角色,知识补充,年代人名|小名|单位称呼|邻里称呼,年代文角色怎么起名|四合院人物怎么命名|年代称呼怎么写,年代,年代角色命名要贴近时代、地域和熟人社会称呼，不要全员现代偶像剧名。,年代文名字和称呼要有生活气，既能区分年龄辈分，也能体现单位、邻里和家庭关系。,本名、小名、排行、单位外号、师傅称呼和街坊称呼可以并存，让熟人社会更真实。,角色人名,年代熟人社会命名法,名字不必过度精致，称呼体系要体现年龄、职业、亲疏和街坊关系。,刘建设|何雨柱|小槐花|王师傅,顾南宸|苏晚柠|全员现代精致名破坏年代感
NR-051,write|plan|init,娱乐圈,知识补充,艺名|组合名|粉丝名|工作室名|娱乐圈命名,娱乐圈艺名怎么取|明星名字怎么写|粉丝名工作室怎么起,现言,娱乐圈命名要兼顾记忆点、公众形象和商业包装，不要只追求好听。,艺名、组合名和粉丝名都应服务人设定位，让读者一眼看出清冷、甜妹、实力派或流量感。,艺名可偏短且易传播，工作室名可挂核心意象，粉丝名要有情感归属但避免尴尬自嗨。,娱乐圈名,人设包装式娱乐圈命名,命名时同步考虑公众标签、传播难度、粉丝称呼和黑称风险。,许知夏|星桥工作室|萤火,司空玄月传媒|名字与现代娱乐圈传播语境脱节
NR-052,write|plan|init,副本,知识补充,规则怪谈副本名|怪谈地点|副本标题|异常空间名,规则怪谈副本怎么命名|怪谈地点叫什么|副本名怎么有钩子,悬疑,规则怪谈副本名要像真实场所又带一处不对劲，让读者一眼有生活感和异常感。,副本名最好兼具地点功能和异常信号，方便读者记住规则发生在哪里。,学校、医院、动物园、车站、公寓等日常空间适合加上编号、禁忌时间、失踪记录或错误称呼。,副本名称,日常地点异常化命名法,用真实地点名打底，再加入一处规则感或异常点。,七号病区|永不熄灯的三号宿舍|返程车站,诡异恐怖世界|太泛，不像可进入的具体副本
NR-053,write|plan|init,任务,知识补充,快穿任务名|世界标题|单元名|任务代号,快穿世界怎么起名|任务名怎么写|单元标题怎么不重复,快穿,快穿单元名要同时提示世界身份、任务矛盾和情绪钩子，不要只叫第几个世界。,快穿任务命名的作用是快速锚定本单元看点，让读者知道这次要改什么命。,可以用原主身份、关系错位、核心遗憾或任务风险组合命名，形成清晰单元记忆点。,快穿任务名,身份加矛盾单元命名法,命名时优先包含原主身份、目标关系或关键危机。,被退婚的侯府假千金|替嫁后我成了反派嫂嫂,世界一|校园篇|信息太少，缺少任务钩子
NR-054,write|plan|init,店铺,知识补充,种田店铺名|作坊名|小摊名|品牌名,种田铺子怎么起名|作坊叫什么|小生意品牌怎么命名,种田|年代|古言|都市,店铺作坊名要贴合产品、地域和人情口碑，别现代品牌腔乱入古代或年代。,种田经营命名要有烟火气，让读者一听就知道卖什么、在哪里、谁开的。,可以用姓氏、地名、主打产品、手艺特色或吉利口彩组合，逐步从小摊过渡到字号。,店铺作坊名,产品地域口碑命名法,名字应体现商品、手艺或地方关系，适配时代语感。,槐树巷豆腐坊|沈记药膳铺|南桥酱园,星耀国际轻食工坊|和古代年代语境冲突
NR-055,write|plan|init,仙侠,知识补充,道号|剑招名|法术名|灵兽名|本命剑,仙侠道号怎么起|剑招怎么命名|灵兽名字怎么写,仙侠|幻言,仙侠命名要让道号、法术和灵兽处在同一文化语系里，避免一半古风一半游戏化。,仙侠体系的名字要服务修行气质和门派审美，名字之间不能互相串味。,道号可取清、玄、微、尘等意象，剑招可取动作和意境，灵兽名要兼顾物种和灵性。,仙侠专名,修行语系统一命名法,同一宗门或体系下的道号、法术、剑招应保持语汇一致。,清微子|照雪剑诀|青羽灵鹤,爆裂火球术MAX|画风过于游戏化，破坏仙侠感
NR-056,write|plan|init,玄幻,知识补充,大陆名|宗门名|秘境名|血脉名|异象名,玄幻世界名怎么起|秘境名字怎么写|血脉异象怎么命名,玄幻|幻言,玄幻专名要把地理、资源、血脉或历史事件压进名字，不要只堆霸气词。,玄幻世界命名要让名称承担设定信息，读者通过名字感到这地方有什么来历和危险。,大陆、秘境、宗门、血脉和异象可以围绕核心资源或旧战传说形成命名族谱。,玄幻专名,设定信息嵌入命名法,名称最好带出资源、地貌、传说或势力来源。,赤渊古地|照骨血脉|九曜宗,无敌至尊大陆|只堆强度没有世界信息
NR-057,write|plan|init,短篇,知识补充,短篇标题|反转标题|第一人称标题|付费钩子,短篇标题怎么起|知乎短篇标题怎么抓人|反转标题怎么写,全部,短篇标题要给强处境和反常点，最好让读者立刻想点进去看原因。,短篇标题承担第一波付费前转化，必须比长篇书名更直接更冲突。,可用我开头、关系背叛、死亡通知、亲人反常、规则禁忌或结果倒挂来做标题，但正文必须兑现。,短篇标题,强处境反常标题法,标题要包含主角位置、冲突对象或异常事件中的至少两项。,我妈葬礼那天，失踪十年的姐姐回来了|我收到自己的死亡证明,风过南墙|太文艺，短篇点击承诺弱
NR-058,write|plan|init,种田,知识补充,农具名|作物名|田庄名|山货名|乡土名,种田文物件怎么命名|作物山货怎么起名|田庄地名怎么写,种田|年代|古言,种田命名要有泥土味和地方感，别把田庄作物写成玄幻宝物。,种田类名字越贴近地理、季节、手艺和乡音，生活质感越稳。,田庄、山货、农具、作物和小吃名可用地名、形态、口味、时令或人名来命名。,种田物件名,乡土功能命名法,优先体现产地、用途、时令和口碑，少用浮夸仙气词。,南坡栗子|槐花糕|青石磨坊,九天灵谷至尊田|种田生活感被玄幻化
NR-059,write|plan|init,快穿,知识补充,系统名|任务代号|宿主称呼|世界编号,快穿系统叫什么|系统编号怎么起|宿主称呼怎么写,快穿,快穿系统命名要体现机制和语气，冷冰冰、毒舌、客服式都要和作品调性一致。,系统名和任务代号会反复出现，必须短、稳、好记，并能提示系统功能。,可用功能编号、部门代号、异常处理编号或人格化称呼区分不同系统生态。,系统任务名,功能人格双轨命名法,系统名要同时考虑功能定位、说话风格和长期重复出现的可读性。,纠偏系统07|炮灰逆袭处|小满,宇宙最强全能恋爱改命系统|过长且调性混乱
NR-060,write|plan|init,幻言,知识补充,神族名|妖族名|灵域名|血脉称谓,幻言角色怎么命名|神妖族名怎么起|灵域名字怎么写,幻言,幻言命名要兼顾言情可读性和超凡气质，不能全员玄幻硬核名。,幻言名字要让读者既能感到神妖灵气，又不妨碍情感线亲近感。,神族可偏清冷秩序，妖族可偏本体和野性，灵域名可带自然意象和族群记忆。,幻言专名,超凡气质与情感可读平衡法,名字要好读好记，同时保留血脉、族群或灵域信息。,扶桑灵域|青丘少主白凛|灵鹿族阿愿,弑天灭世玄冥神尊|过重过硬，不利于言情阅读
NR-061,write|plan|init,游戏,知识补充,战队名|选手ID|技能名|赛事名,电竞战队怎么起名|游戏ID怎么写|技能名怎么命名,游戏,游戏电竞命名要考虑传播感、屏幕显示和粉丝称呼，不要写成长篇古风称号。,电竞和游戏名要短、有辨识度、能被解说和弹幕反复叫出来。,战队名适合二到四字，选手ID要有读音记忆点，技能名要能在战斗中快速识别功能。,电竞游戏名,传播友好命名法,优先短、响、可读、可刷屏，避免复杂生僻字。,霜刃战队|Kite|回潮斩,九霄玄冥无双电竞俱乐部|解说和弹幕都难记
NR-062,write|plan|init,历史,知识补充,官职名|军号名|营寨名|谍报代号,历史官职怎么写|军队番号怎么起|谍战代号怎么命名,历史,历史类命名要贴合制度和时代，不要把现代组织名硬塞进古代或近代。,历史文的专名首先要让读者相信这个制度真的存在过或可能存在。,官职、军号、衙门、营寨和谍报代号要体现职责、层级和时代口吻。,历史制度名,职责层级时代口吻命名法,名称应能看出管什么、归谁管、处在哪个层级。,巡盐御史|北营斥候|灰雀小组,最高特别行动超级部门|现代感太强且制度不清
NR-063,write|plan|init,科幻,知识补充,星舰名|殖民地名|项目代号|AI名,科幻舰船怎么命名|星球殖民地叫什么|AI名字怎么起,科幻,科幻命名要体现功能、工程感或探索精神，别只堆冷酷英文和数字。,星舰、基地、AI和计划名应让读者感到技术体系和组织文化。,可用航行意象、任务目标、编号层级和工程项目名来建立科技质感。,科幻专名,工程项目命名法,名称要兼顾功能、编号、组织文化和读者记忆点。,远昼号|火卫三采样计划|织网AI,X-999终极宇宙神舰|只剩夸张没有工程可信度
NR-064,write|plan|init,衍生,知识补充,同人原创角色名|同人组织名|衍生技能名|画风适配,同人原创角色怎么起名|衍生设定怎么不违和|原创组织怎么命名,衍生,衍生命名要先贴合原作画风，再加入原创辨识度，不能像另一本书乱入。,同人原创名最重要的是画风适配，读者要相信这个角色能站在原作世界里。,应先分析原作姓名长度、语源、称号习惯和组织命名方式，再设计原创名。,衍生命名,原作画风适配法,保留原作语汇系统和命名节奏，再加入新角色核心特征。,雾岛遥|第七搜查班|赤羽术式,龙傲天至尊殿|和多数现代动漫或原作画风冲突
NR-065,write|plan|init,古言,知识补充,宫殿名|封号|闺名|院落名|礼制称呼,古言宫殿封号怎么起|宅斗院落怎么命名|闺名和称呼怎么写,古言,古言命名要受礼制、身份和亲疏关系约束，不能只追求好听。,宫殿、封号、院落和称呼都在表达权力和关系距离。,封号看身份来源，院落看居住者气质和家族审美，称呼要随辈分、场合和亲疏变化。,古言礼制名,身份礼制约束命名法,命名时同时考虑等级、场合、亲疏和家族语汇。,清晖院|昭仪|宁远侯府,甜心小屋|现代感破坏古言礼制氛围
NR-066,write|plan|init,种田,知识补充,村庄名|田地名|水渠名|山坡名,种田村庄怎么起名|田地水渠怎么命名|乡土地名怎么写,种田|年代,种田地名要贴地形、作物和村民叫法，别起成仙境或景区名。,乡土命名最好像当地人长期叫出来的名字。,村庄、坡地、水渠、磨坊和集市名可从方位、地貌、姓氏、作物和旧事来取。,乡土地名,地貌旧事命名法：优先让名字带出方位、物产或村史，口语化一点更有生活感。,柳沟村|南坡地|三岔渠,云梦仙灵谷|过于玄幻，缺少乡土真实感,乡土名漂移
NR-067,write|plan|init,种田,知识补充,小吃名|作坊名|铺子名|手艺名,种田铺子怎么起名|小吃作坊怎么命名|经营文店名怎么写,种田|年代|现言,种田经营命名要有口碑感和手艺感，最好一听就知道卖什么或谁家做的。,小店名太高级会削弱市井可信度。,铺子、小吃、酱料、豆腐坊和织坊可用姓氏、地名、招牌味道或老主顾叫法命名。,经营店名,口碑手艺命名法：名字要方便顾客口口相传，少用抽象高概念词。,沈家酱坊|桥头豆花|南巷糕铺,星辰梦幻臻味工坊|不像乡镇小生意,命名过度包装
NR-068,write|plan|init,年代,知识补充,外号|工友称呼|院里称谓|辈分叫法,年代外号怎么起|四合院称呼怎么写|工友怎么互相叫,年代,年代称呼要体现年龄、岗位、熟人关系和院里辈分，别全员直呼大名。,年代文称谓是关系网的一部分，一声称呼就能带出亲疏和地位。,可用姓氏加师傅、排行、岗位、院里辈分和性格外号构成称呼体系。,年代称谓,岗位辈分称呼法：称呼随场合变化，单位和院里叫法可以不同。,刘师傅|二大爷|小周会计,Kevin哥|宝贝总裁|现代感强，破坏年代氛围,称呼现代化
NR-069,write|plan|init,年代,知识补充,工厂名|车间名|先进称号|集体单位名,年代单位怎么命名|工厂车间名怎么写|先进称号怎么起,年代,年代单位名要有组织感和生产属性，不能像现代品牌或创业公司。,单位名称本身能提供时代气息和生活压力。,工厂、车间、供销社、街道办和先进称号应体现生产门类、地域和集体荣誉。,年代单位名,生产组织命名法：优先朴素清楚，让读者一眼知道单位性质和时代位置。,红星轧钢厂|第三车间|先进生产小组,蓝鲸未来科技有限公司|现代商业味过重,单位名失真
NR-070,write|plan|init,快穿,知识补充,世界代号|任务名|偏差值名|评级名,快穿世界怎么编号|任务名称怎么起|评级怎么命名,快穿,快穿任务命名要短促清楚，能提示目标、风险或原主遗憾。,反复出现的系统词越短越有力。,世界编号、任务名、偏差值、评级和惩罚名应统一系统口吻，避免每次换风格。,快穿系统术语,短促功能命名法：同一系统内命名格式要稳定，冷淡系统少拟人，毒舌系统可略带吐槽。,A17世界|原主执念修正|偏差值警报,超级浪漫逆袭宇宙副本任务一号|过长且难反复使用,系统词臃肿
NR-071,write|plan|init,快穿,知识补充,原主名|单元角色名|世界身份名|炮灰称谓,快穿原主怎么起名|每个世界角色名怎么区分|炮灰名怎么写,快穿,快穿单元角色名要跟随世界类型变化，不能每个世界都像同一套现言名。,世界差异要先在名字和称谓上露出来。,校园、宫廷、末世、娱乐圈、年代和仙侠单元应使用不同命名语汇与称呼规则。,快穿单元人名,世界语境切换命名法：先判定本世界题材，再按该世界称谓习惯设计名字和身份名。,沈知夏|萧令仪|顾队|林厂花,每个世界都叫苏沫然和陆景辰|单元差异不足,世界语汇同质
NR-072,write|plan|init,幻言,知识补充,契约名|灵宠名|族规名|血脉名,幻言契约怎么命名|灵宠名字怎么起|血脉称号怎么写,幻言,幻言专名要兼顾情绪感和规则感，让契约、血脉、灵宠都能参与感情戏。,超凡词汇不能只追求酷，要能被反复用于甜虐场景。,契约名可偏誓言和代价，灵宠名可偏本体特征，血脉名可偏族群记忆。,幻言规则名,情绪规则双重命名法：名字要有画面但别太硬核，便于在情感段落中自然出现。,半生契|雪尾灵狐|月魄血脉,灭世至尊神王契约|过硬过长，不适合言情场景,专名压过情绪
NR-073,write|plan|init,幻言,知识补充,神域名|妖族姓氏|灵山名|禁地名,幻言地名怎么起|神妖族地怎么命名|禁地名字怎么写,幻言,幻言地名要带族群记忆和情绪暗示，别只有大而空的仙气。,地名应服务角色归属、禁忌和情感回忆。,神域可偏秩序清冷，妖族地可偏本体自然，禁地可偏旧伤或誓约。,幻言地名,族群记忆命名法：地名最好能暗示谁生活在这里、这里发生过什么。,照雪台|九尾岭|沉誓渊,万古无敌天神界|空泛且难承载情感,地名空壳
NR-074,write|plan|init,衍生,知识补充,OC名|原创家族名|原创组织名|原作语源,同人OC怎么起名|原创家族怎么不违和|同人组织名怎么贴原作,衍生,衍生原创名要先拆原作命名规律，再加新角色特征，不要把别的题材名硬塞进去。,读者会用原作语感判断违和度。,先观察原作名字长度、语源、称呼习惯和组织命名，再设计原创角色和势力名。,同人OC名,原作语源对齐法：同一IP下原创名要像原作世界自然长出来的名字。,旗木遥|洛夫古德旁支|第七搜查班,叶天帝加入霍格沃茨|跨画风突兀,原作画风冲突
NR-075,write|plan|init,衍生,知识补充,技能名|招式名|装备名|体系兼容,同人技能怎么命名|原创招式怎么贴原作|装备名怎么不OOC,衍生,衍生技能名要遵守原作体系的命名语法，不能只追求炫酷。,技能名是战力体系的一部分，语法错了比强弱更违和。,招式、装备、血脉和系统奖励都要看原作已有命名规律，再做变体。,衍生技能名,原作语法变体法：保留原作前缀、术式、编号或称号结构，再加入原创差异。,影缝术|冬青木短杖|赤羽领域,九霄灭世神雷斩|和多数原作体系不兼容,技能名乱入
NR-076,write|plan|init,仙侠,知识补充,宗门职位|护道人称号|峰名|传承名,仙侠宗门职位怎么起|峰名怎么写|护道人称号怎么命名,仙侠|玄幻,仙侠宗门命名要体现传承、山门层级和修行气质，别只堆玄字仙字。,宗门专名要能看出谁管什么、谁属于哪一脉。,峰名、长老号、护道人称呼和传承名可由道统、地貌、功法和职责组合。,宗门专名,道统层级命名法：名称要服务宗门结构，避免全员大而空。,藏剑峰|执律长老|青木一脉,玄天无极至尊大殿|空泛堆词，组织层级不清,宗门名虚胖
NR-077,write|plan|init,仙侠,知识补充,丹药名|法宝名|天劫名|秘境名,仙侠丹药怎么命名|法宝名字怎么起|天劫秘境怎么写,仙侠|玄幻,仙侠物件命名要体现材料、功能和品阶，不要所有东西都至尊无敌。,丹药法宝名最好让读者知道它大概做什么。,可用主材、功效、炼制者、品阶或异象命名，天劫和秘境名要服务剧情压力。,仙侠物件名,材料功效命名法：先定功能和限制，再给名字，避免名字比设定夸张。,清心丹|折雷伞|赤霞秘境,万界无敌破天神丹|过度夸张且功能不清,物件名膨胀
NR-078,write|plan|init,历史,知识补充,年号感地名|军营名|关隘名|官署名,历史地名机构名怎么起|关隘营寨怎么命名|官署名字怎么写,历史,历史地名和机构名要有制度位置和地理功能，不要像游戏副本名。,读者需要从名字里判断这个地方管什么、守哪里、属于谁。,关隘、营寨、驿站、官署和粮仓名可由地形、方位、职责和朝代风格组合。,历史机构地名,地理职责命名法：名称要朴素可信，优先职责清楚和时代口吻。,北门驿|青石关|转运司粮仓,血月魔龙要塞|奇幻感过重，不像历史机构,历史语汇漂移
NR-079,write|plan|init,游戏,知识补充,副本名|公会名|赛季名|装备词条,游戏副本怎么命名|公会名字怎么写|装备词条怎么起,游戏,游戏命名要兼顾界面可读性和玩家传播，副本、公会、词条都不能太长。,游戏词汇需要被玩家、解说和系统公告反复使用。,副本名突出机制或地点，公会名便于叫，装备词条要短且能看出效果。,游戏系统名,界面传播命名法：名字要短、可读、能进公告，词条最好一眼看懂收益。,雾港副本|破晓公会|吸血词条,混沌九转轮回灭世史诗副本|界面负担过重,命名不适合屏幕
