编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,节奏类型,情绪调动手法,毒点
PA-065,plan|write,伏笔,知识补充,伏笔层级|核心伏笔|支线伏笔|装饰伏笔|回收窗口,伏笔怎么分层|伏笔什么时候回收|长篇线索怎么管,悬疑|全部,把伏笔分成核心、支线和装饰三层，并为每层设置不同回收窗口。,伏笔管理的重点不是埋得多，而是知道哪些必须回收，哪些只负责真实感。,核心伏笔服务主线，支线伏笔服务人物和阶段转折，装饰伏笔服务氛围和小回响，回收周期要有差异。,三层伏笔回收期,核心长线|支线中线|装饰短线,所有伏笔同等重要|埋了不记|回收时和原线索对不上
PA-066,plan|write,推理,知识补充,假设验证|线索充分|误导公平|读者参与,推理节奏怎么写|误导怎么公平|线索怎么让读者参与,悬疑,推理节奏要让读者不断形成假设、推翻假设、接近真相，而不是最后听主角宣布答案。,公平推理的爽点来自读者事后承认线索都在，只是自己没拼对。,误导线索要能解释表面现象，真线索要提前出现，结论要从证据链中自然推出。,假设验证推理期,提出假设|证据反驳|结论收束,答案靠新证据空降|误导没有合理解释|主角推理跳步
PA-067,plan|write,日常,知识补充,日常降压|轻松场伏笔|笑点温情|关系积累,日常场节奏怎么安排|轻松章节怎么不水|休整章怎么有用,全部,日常降压章要同时完成关系、伏笔或信息任务，不能只负责让角色闲聊。,好的休整期能让读者喘气，也能偷偷把下一轮冲突的材料摆好。,笑点、温情、微冲突和不对劲的小细节交替出现，日常就不会塌成水章。,日常降压蓄能期,轻松互动|信息暗埋|结尾微钩子,整章无推进|只有插科打诨|日常和后文完全断开
PA-068,plan|write,诊断,知识补充,中后期节奏诊断|结构健康|爽点库存|伏笔盘点,中后期卡文怎么诊断|节奏掉了怎么办|长篇怎么做复盘,全部,中后期节奏诊断要同时看结构进度、爽点密度、情感账户、人物弧线和伏笔库存。,长篇掉速通常不是单一问题，必须从五个维度一起判断改哪里。,若主线推迟、爽点重复、情感债过高、人物停滞或伏笔遗忘，就要分别用合并支线、换爽点、还债、推进弧线和回收线索处理。,五维中后期校准期,结构对表|爽点盘点|伏笔库存|人物推进,只喊加快节奏|不看已有承诺|大改方向没有数据依据
PA-069,plan|write,短篇,知识补充,快节奏叙事|高信息密度|场景跳切|强冲突,短篇节奏怎么快|知乎短篇怎么不水|高信息密度怎么写,全部,短篇每个场景都要带新信息或新冲突，过渡句能省就省。,快节奏不是写得急，而是每段都在推进处境、关系或真相。,用结果先行、场景直切、对话带信息、动作接后果来压缩篇幅，让读者持续被问题牵着走。,短篇高密度推进期,结果先行|场景直切|信息压缩,铺垫过长|解释多于行动|每段没有新增信息
PA-070,plan|write,短篇,知识补充,付费转化|卡点前置|付费后兑现|悬念回报,付费卡点节奏怎么控|卡点后怎么兑现|短篇付费怎么设计,全部,卡点前把冲突推到临界，卡点后必须快速兑现一部分答案并抛出更大问题。,付费节奏的核心是卡得准、还得快，不能只吊胃口不还债。,卡点前给问题和代价，付费后先给一个硬答案，再让答案带出更大的关系或真相裂口。,付费卡点兑现期,临界卡断|付费后立即回报|答案带新问题,卡点前没压力|付费后继续拖|兑现和前文钩子不对应
PA-071,plan|write,玄幻,知识补充,战中突破|境界爽点|瓶颈回收|升级反杀,境界突破爽点怎么排|战中升级怎么不突兀|玄幻升级节奏,玄幻|仙侠|幻言,境界突破要先让瓶颈和压力同时存在，爆发后立刻改变战局但保留不稳代价。,战中突破最爽的是旧问题终于被理解，力量随心境一起跨过去。,突破前用失败和压迫蓄势，突破中回收领悟，突破后用一招或一个判断改写战局。,战中破境兑现期,瓶颈蓄压|心境领悟|战局改写,没有瓶颈铺垫|升级变万能药|突破后无副作用
PA-072,plan|write,规则,知识补充,规则生路|试错缩圈|真假规则|安全感崩塌,规则怪谈爽点怎么做|生路推理怎么爽|规则破局节奏,悬疑,规则生路的爽点来自不断排除错误答案，最后找到唯一能活的动作。,规则类爽点不是暴力碾压，而是读者和主角一起把无解局面推成可解。,先学规则，再试错，再发现矛盾，再重建理解，最后用正确规则反制危险。,规则生路推理期,试错增量|错误排除|唯一动作落地,直接给答案|试错重复无信息|破解后规则失去威胁
PA-073,plan|write,替身,知识补充,尊严找回|替身觉醒|不再替代|情感清算,替身文爽点怎么写|女主不当替身怎么爽|尊严回收节奏,现言|古言,替身文爽点要从被比较到主动退出，再到身份和尊严重新定价。,替身文最强的爽点不是被男主追回，而是女主终于不再接受被替代的位置。,前期被投射越具体，后期归还象征物、拆穿真相、拒绝补偿时的回报越强。,替身尊严回收期,替代刺痛|主动退出|尊严重估,女主只等男主醒悟|尊严回收被复合冲淡|清算没有具体象征物
PA-074,plan|write,世情,知识补充,现实报应|生活反噬|旧账回收|人情清算,世情爽点怎么写|现实报应怎么爽|亲情旧账怎么回收,现言|年代|都市,世情报应要落在生活后果上，让占便宜的人被现实规则反噬。,世情文的爽感来自现实公平感回流，而不是夸张惩罚。,名声、单位、邻里、人情、钱账和照料责任都能成为报应载体，越接地气越有力。,世情现实清算期,旧账摊开|生活后果|公平感回流,报应过度戏剧化|只骂不改局面|现实逻辑不成立
PA-075,plan|write,经营,知识补充,种田复利|小胜累积|经营扩张|慢爽点,种田爽点怎么写|经营文节奏怎么不平|慢热爽点怎么安排,种田|年代|都市,经营爽点要小胜持续可见，每次收益都推动下一轮工具、渠道或地位升级。,种田慢爽靠复利，不靠一次暴富。,一篮菜、一张订单、一个熟客、一件工具都能成为下一阶段扩张的台阶，让读者看见生活变好。,经营复利积累期,小胜连续|收益转投资|生活改善可见,突然暴富|经营收益不进入下一步|只报数字没有生活变化
PA-076,plan|write,快穿,知识补充,快穿单元节奏|任务翻车|结算余波|世界切换,快穿节奏怎么排|每个世界怎么不重复|快穿结算怎么收,快穿,快穿单元按入场危机、任务推进、情感动摇、翻车反转、结算余波来跑，避免每个世界同模板。,快穿节奏的难点是既要快进世界设定，又要让单元情绪成立。,每个世界都应有独立危机和独立关系变化，结算时回收任务也要回收情绪。,快穿单元闭环期,入场危机|中段动摇|结算余波,只换地图不换矛盾|结算只报奖励|主角心态不累积
PA-077,plan|write,历史,知识补充,权谋爽点|借势翻盘|制度反杀|朝堂改判,历史权谋爽点怎么写|朝堂翻盘怎么爽|制度反杀怎么排,历史|古言,历史权谋爽点要让主角借制度和人心翻盘，而不是像现代辩论一样讲赢所有人。,权谋爽感来自在规则内反手利用规则，让压人的秩序反过来压对手。,奏章、证人、旧例、军功、税粮和礼制都能成为翻盘杠杆，爽点落在局面改判。,制度借势翻盘期,旧例回收|证据落地|权力改判,靠嘴炮说服全场|制度不存在|反派无理由失势
PA-078,plan|write,仙侠,知识补充,心境突破|因果回收|渡劫爽点|旧念放下,仙侠爽点怎么写|心境突破怎么爽|渡劫兑现怎么排,仙侠|幻言,仙侠爽点不只在战力增长，也在角色放下旧念后天地承认。,心境突破的爽感来自人终于越过自己，而不是数字往上跳。,前期执念压得越具体，渡劫或顿悟时放下的瞬间越有分量，外部异象只是证明。,心境破关兑现期,旧念蓄压|自我承认|天地回应,只涨境界不改心境|异象堆砌|旧因果没有回收
PA-079,plan|write,游戏,知识补充,极限翻盘|团战逆转|首杀竞速|赛事燃点,电竞爽点怎么写|游戏团战翻盘怎么燃|首杀争夺怎么排,游戏,游戏爽点要让读者看懂操作价值和战术风险，翻盘才不是硬喊燃。,电竞和游戏的爆点来自冷却差、视野差、资源差被精准利用。,先立劣势，再给对手逼近，再用一波配合或极限操作改写胜负，最后落公告或比分。,赛事极限翻盘期,劣势明确|操作可读|结果公开,看不懂操作|全靠解说夸|翻盘没有风险
PA-080,plan|write,科幻,知识补充,技术破局|工程爽点|代价换解法|科技碾压,科幻爽点怎么写|技术破局怎么爽|科技碾压怎么不万能,科幻,科幻爽点要让技术解法从限制中长出来，而不是突然拿出万能设备。,技术破局最爽的是主角理解系统边界后，用有限资源完成超预期结果。,能源、延迟、权限、材料和风险是技术爽点的压力源，解决它们才有工程感。,技术边界破局期,限制先立|资源调度|解法落地,黑科技空降|术语堆砌|技术没有代价
PA-081,plan|write,快穿,知识补充,任务反杀|剧情偏差|原主逆袭|世界线改写,快穿爽点怎么写|原主逆袭怎么爽|剧情偏差怎么反杀,快穿,快穿爽点要让主角用任务规则反杀原剧情，而不是单纯换个身份打脸。,快穿最稳的爽感来自原主遗憾被改写，原剧情压迫被反向利用。,偏差值、剧情节点、目标人物误判和原主旧证据都可以成为反杀工具。,任务规则反杀期,原剧情压迫|规则利用|遗憾改写,只靠主角强行开挂|原主情绪没回收|世界线变化无代价
PA-082,plan|write,种田,知识补充,生活改善|小家变好|家庭认可|烟火爽点,种田生活爽点怎么写|小日子变好怎么爽|慢生活怎么有回报,种田|年代,种田爽点要把收益落到吃穿住用和关系改善上，让读者看见日子真的变好。,慢生活爽感不是钱变多，而是生活边界一点点变宽。,新灶台、厚棉被、满粮缸、固定熟客和家人态度变化都能成为回报点。,生活改善兑现期,小物件回报|关系回暖|安全感增加,只报收入数字|生活没有变化|人物对改善无反应
PA-083,plan|write,衍生,知识补充,原作回响|名场面变奏|if线爽点|角色补完,同人爽点怎么写|名场面怎么改写|if线怎么有回报,衍生,衍生爽点要回响原作遗憾或名场面，让读者看到熟悉东西被重新点亮。,同人最有效的爽点来自补遗憾、改命运、救旧人或让原作伏笔换一种结果。,名场面可以变奏，但必须保留原作情绪核心，否则只剩借壳。,原作回响兑现期,旧遗憾|名场面变奏|角色补完,只借名字没有原作情绪|强行改命无代价|新剧情压坏原作人物
PA-084,plan|write,幻言,知识补充,契约甜虐|血脉共鸣|禁忌恋爽点|超凡守护,幻言甜虐怎么写|契约恋怎么爽|神妖恋爽点怎么做,幻言,幻言爽点要让超凡设定参与情绪兑现，守护、共鸣和禁忌都要有规则代价。,幻言的甜点不能只是拥抱告白，最好让契约或血脉在关键时刻回应真实情感。,契印发亮、血脉护主、灵兽认同和天规松动都能成为情绪可视化回报。,超凡情绪兑现期,情感触发|规则回应|代价保留,超凡设定不参与恋爱|甜点只有台词|规则代价被忽略
PA-085,plan|write,年代,知识补充,生活票证|小物改善|单位认可|院里风评,年代文爽点怎么写|年代生活改善怎么爽|四合院爽点怎么排,年代|种田,年代爽点要把改善落到票证、饭桌、衣物、住处和单位评价上。,年代文的爽不是抽象变强，而是小日子终于有底气。,先压生活窘迫和舆论难听，再用一件看得见的东西证明主角过得更好。,生活翻身兑现期,物资变化|风评逆转|家庭安心,只报收入数字|时代资源不受限|邻里反应缺席
PA-086,plan|write,种田,知识补充,基建复利|阶段收益|民心反馈|从无到有,基建爽点怎么写|种田发展怎么有成就感|领地建设爽点怎么排,种田|历史|奇幻,种田基建爽点要阶段化兑现，每完成一环都让生活能力和抗风险能力提升。,基建的快感是地盘一点点从破败变成能养人。,水源、粮仓、道路、作坊、集市按顺序推进，每一环都给具体反馈。,建设复利兑现期,缺口明确|工程完成|民心回报,一夜暴富|建设无成本|成果不改变生活
PA-087,plan|write,快穿,知识补充,虐渣反杀|任务评级|原主释然|世界线修正,快穿虐渣爽点怎么写|任务评级怎么用|原主逆袭怎么收束,快穿,快穿爽点要把原剧情压迫反向利用，并给原主执念一个明确回声。,快穿读者要看的不是赢一场嘴仗，而是旧命运被彻底改写。,压迫越具体，反杀越要对准原伤口，最后用评级、旁人反应或原主残念收束。,单元反杀兑现期,旧剧情压迫|证据回收|评级落地,虐渣无铺垫|评级只当装饰|原主情绪不回收
PA-088,plan|write,仙侠,知识补充,底牌耗尽|渡劫破关|天地承认|仇敌窥伺,仙侠渡劫爽点怎么写|破境爽点怎么排|飞升高潮怎么做,仙侠|玄幻,仙侠破境爽点要先把角色逼到资源和心境双重极限，再给天地回应。,渡劫爽不是雷越大越好，而是读者知道他真的撑过了不可能。,底牌碎裂、仇家出手、心魔追问和最后一念可以组成连续高压。,破境极限兑现期,底牌耗尽|内外夹击|天地回应,直接升级|雷劫只做烟花|没有心境代价
PA-089,plan|write,历史,知识补充,名分翻盘|证据入局|旧例压人|众目裁决,历史爽点怎么写|官场打脸怎么爽|权谋反杀怎么排,历史|古言,历史爽点要让身份、名分、旧例和证据一起发力，而不是主角单靠嘴硬。,权谋反杀最爽的是对手拿来压人的规则被原样压回去。,先铺权力差，再埋可调用凭据，最后让公开场合无法抵赖。,公堂改判兑现期,旧例回收|证据公开|名分逆转,靠吼赢朝堂|证据凭空出现|反派突然变蠢
PA-090,plan|write,幻言,知识补充,禁忌守护|契约回响|灵物认主|天规松动,幻言爽点怎么写|神妖守护怎么爽|契约回应怎么排,幻言,幻言情绪爽点要让规则为真心让路，但仍保留代价。,超凡世界的甜爽来自天地、契约或灵物承认这段关系。,先立禁忌和惩罚，再让主角用选择触发规则例外，最后留下后续代价。,规则回应兑现期,禁忌压迫|真心触发|代价保留,无代价破规|灵物只会卖萌|甜点全靠告白
PA-091,plan|write,衍生,知识补充,意难平修正|名场面改写|原作角色承认|粉丝回响,同人救意难平怎么爽|名场面改写怎么排|衍生爽点怎么写,衍生,衍生爽点要精准命中原作遗憾，改变结果时保留原场景的情绪核心。,同人读者的快感来自我知道这里本该痛，但这次终于不一样。,名场面前先唤起旧记忆，改变时给代价，改变后让原作角色产生新选择。,原作遗憾兑现期,旧痛重现|关键介入|新结果回响,只借壳不回响|强行救人无代价|原角色像路人
PA-092,plan|write,游戏,知识补充,首杀公告|掉落反馈|排行变化|团队认可,游戏副本爽点怎么写|首杀怎么爽|公会战奖励怎么排,游戏,游戏爽点要公开化，让系统公告、掉落、排行和队友反应证明价值。,游戏文最稳定的反馈是结果被规则承认并被所有人看见。,先建立副本难度和竞争对手，再用可读操作破局，最后落公告和收益。,公开反馈兑现期,难度认证|操作破局|公告奖励,奖励无意义|没人知道结果|靠旁白夸主角
PA-093,plan|write,种田,知识补充,家族养成|后代成长|护短出手|产业传承,家族种田爽点怎么写|养成家族怎么爽|老祖护短怎么排,种田|仙侠|历史,家族种田爽点要看整体势力变厚，不只看主角个人发财。,家族养成的快感来自人丁、教育、产业和后辈出息形成合力。,用败家子纠偏、天才后辈冒头、产业扩张和危机护短制造连续回报。,家族复利兑现期,人口增长|产业升级|护短反杀,全族工具人|后代没有差异|主角一人包办所有事
PA-094,plan|write,年代,知识补充,院落公审|名声逆转|证人站队|资源归还,年代院落冲突怎么爽|四合院打脸怎么写|熟人社会怎么反杀,年代,年代院落爽点要利用熟人社会的公开评价，让占便宜的人当众失去话语权。,院里打脸的关键不是吵赢，而是让旁观者从看热闹变成作证。,先铺流言和委屈，再抛账本、证人或票证，最后改写院里风评。,熟人公论兑现期,流言蓄压|证据落桌|风评改判,主角独自发疯|邻居无立场|坏人没有社会成本
PA-095,plan|write,快穿,知识补充,世界切换钩子|单元余韵|长期主线|系统隐瞒,快穿节奏怎么不断档|快穿换世界怎么留钩子|系统主线怎么埋,快穿,快穿节奏要在单元收束后留一根长期线，避免每个世界像无关短篇。,单元爽点负责当下满足，系统隐瞒和任务异常负责长期追读。,每个世界结尾除了评级，还要推进主系统、身份谜题或终局敌人的一小步。,单元余韵牵引期,任务收束|异常提示|长期线推进,世界之间毫无关系|只靠新设定续命|系统谜题不推进
PA-096,plan|write,仙侠,知识补充,论道压服|道心破绽|文斗异象|师门认可,仙侠文斗爽点怎么写|论道爽点怎么排|辩经赢了怎么兑现,仙侠|玄幻,仙侠文斗爽点要让主角指出对方道心破绽，并用结果影响地位或修行。,论道赢了必须改变关系、名声或境界，否则只是空谈。,先让对方道理有压迫感，再由主角经历破题，最后用师门或天地反馈落地。,文斗认同兑现期,对手立论|破绽击中|地位变化,纯嘴炮无后果|对手降智|异象滥用
PA-097,plan|write,历史,知识补充,隐忍蓄压|公堂翻案|证据落锤|名分归位,历史隐忍后爆怎么写|翻案爽点怎么排|权谋证据怎么爽,历史|古言,历史爽点要让压抑来自制度和名分，爆发来自证据终于进入正确程序。,翻案的爽不是喊冤，而是所有曾压人的名分被重新排列。,前面让主角不能说或说了无用，后面让文书、证人和旧例一起落地。,制度翻案爆发期,长期压案|证据入程序|名分重排,压抑不足|主角靠吼赢|证据无铺垫
PA-098,plan|write,快穿,知识补充,单元三段式|开局怨气|中段翻车|结算余韵,快穿单元节奏怎么排|快穿一个世界怎么写爽|任务结尾怎么留钩,快穿,快穿单元节奏要开局立怨气，中段让任务翻车，结尾同时回收原主和系统钩子。,快穿爽感靠密度，但密度必须有层次。,第一场给压迫，中段给偏差，高潮给反杀，结算给长期异常。,单元短弧节奏,怨气建立|任务偏差|结算异常,只打脸不留余韵|每个世界同节奏|任务线和情感线分离
PA-099,plan|write,种田,知识补充,慢热复利|日常小胜|长期改善|经营阶梯,种田节奏怎么不慢|慢爽怎么写|经营复利节奏怎么排,种田,种田节奏要用小胜连续推进，让每章都有一点生活或经营状态改变。,慢不是没事发生，而是收益逐步积累。,每个阶段安排一个具体改善点、一个新问题和一个关系反馈，形成复利阅读感。,慢爽复利推进期,小胜可见|新问题接上|生活状态改变,纯流水账|长期目标缺席|改善没有反馈
PA-100,plan|write,幻言,知识补充,甜虐交替|契约代价|禁忌推进|情绪回响,幻言甜虐节奏怎么排|契约恋怎么控节奏|神妖恋怎么不平,幻言,幻言甜虐要让每次亲近都触发更深规则压力，甜和虐不能互相取消。,禁忌恋的节奏不是一直虐，而是甜点越真代价越近。,小甜点用灵物或契约回应，大转折用族规、寿命或反噬逼选择。,契约甜虐波浪期,亲密升温|规则逼近|代价显形,只甜不推进|只虐无回报|规则压力忽有忽无
PA-101,plan|write,仙侠,知识补充,修行小爽|境界门槛|资源消耗|道心反馈,仙侠日常爽点怎么写|修行节奏怎么排|破境前小爽怎么做,仙侠|玄幻,仙侠节奏不能只靠大战，日常修行也要有小反馈和小门槛。,修行小爽来自读者看见主角一点点更懂自己的道。,一场小斗法、一枚丹药、一段论道、一次吐纳变化都能给阶段反馈。,修行阶梯反馈期,小门槛|小反馈|大境界铺垫,只等大突破|日常修炼空转|资源消耗缺席
PA-102,plan|write,年代,知识补充,院落连环爽|风评翻盘|单位认可|生活改善,年代节奏怎么排|四合院爽点怎么连续|年代文追读点怎么做,年代,年代文节奏适合用院落风评、单位认可和生活改善三条线轮流兑现。,年代爽点密度不能只靠吵架，要让现实处境逐步变好。,一章改风评，一章拿资源，一章修关系，形成熟人社会的连续回报。,年代三线轮动期,风评变化|资源到手|关系重排,天天吵架无进展|生活状态不变|单位线和家庭线割裂
PA-103,plan|write,衍生,知识补充,粉丝期待|旧梗回响|新线推进|角色补完,同人节奏怎么排|衍生追读点怎么做|粉丝服务怎么不卡文,衍生,衍生节奏要在原作回响和新剧情推进之间轮换，不能一直复刻或一直原创。,同人读者需要熟悉感，也需要新变量带来的期待。,小回响满足情绪，大分歧制造追读，新关系负责长期黏性。,回响分歧轮动期,原作回响|新变量|角色补完,只复刻原作|原创线脱离原作|粉丝服务无节制
PA-104,plan|write,古言,知识补充,宅斗递进|体面压迫|暗刺回收|名分升降,宅斗爽点怎么排|古言后宅节奏怎么写|暗斗怎么有回报,古言|历史,宅斗爽点要从小体面到大名分递进，别一上来就撕破脸。,古言暗斗的回报常常是座次、赏赐、称呼和婚约变化。,前期小刺试探，中期证据入局，高潮名分改判，节奏才有层次。,礼制暗斗兑现期,小刺蓄压|证据回收|名分变化,开局就泼妇吵架|礼制无反馈|爽点只靠骂赢
